Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	51598	16743865	8692	-0.1191
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	16758722	17148828	166	-0.5542
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	17150527	22402405	3465	-0.1128
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	22403721	22424512	25	-0.5109
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	22425229	25465715	1760	-0.1158
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	25468468	25534592	29	0.366
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	25534799	103960907	48846	0.0786
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	103965022	103965310	2	-1.6237
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	103979561	104062729	24	-0.2807
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	104069745	105814899	920	0.0782
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	105820728	105823898	17	0.518
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	105825578	110025950	2652	0.0844
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	110027165	110041678	29	-0.4884
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	110041701	119910783	6698	0.0814
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	119911597	119930984	39	-0.255
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	119931015	143543612	477	0.0193
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	143553915	143580441	7	-1.0244
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	143584684	146274340	1055	0.0456
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	146274588	147173241	61	-0.2858
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	147173894	147308142	17	-0.9256
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	147308346	147469422	76	-2.2073
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	147469502	147695830	82	-1.0554
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	147703466	147943765	17	0.167
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	147957888	148005697	15	-0.6792
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	148015166	150822330	1461	0.0591
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C12_777010	1	150822391	150853200	33	1.3597
