Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	1	3208470	95447298	53177	-0.17
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	1	95449099	95449106	2	-1.7318
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	1	95452712	163210644	23209	-0.1615
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	1	163212140	163212450	2	-1.7518
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	1	163213359	245879054	52706	-0.1665
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	474222	136380865	70671	0.3234
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	136384180	139673799	1712	0.7076
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	139675641	141469258	993	0.3503
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	141469704	143853323	1565	0.7524
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	143859219	144120266	145	0.3471
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	2	144121469	242124735	56244	0.7212
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	526235	28898347	15655	-0.4488
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	28898587	28899891	5	-2.2103
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	28900859	45784120	10212	-0.4463
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	45784277	45784416	2	-2.7472
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	45787518	65839896	11366	-0.4552
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	65841268	66665515	359	0.2383
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	66670382	68605846	1254	-0.4536
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	68611117	70177494	1215	0.255
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	70178062	70666180	296	-0.447
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	70666331	70824136	107	0.2631
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	70827664	71913222	707	-0.4331
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	71915074	75082197	2260	0.2352
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	75087031	75445439	180	-0.4521
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	75446248	124421847	23649	0.254
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	124423067	124423645	2	-1.3282
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	124427049	138339192	7999	0.2105
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	138344790	138348447	2	-1.2764
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	3	138348536	199023074	31128	0.239
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	4	1043934	189836143	102736	-0.4174
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	5	967233	116380721	61906	0.0382
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	5	116381895	174491104	35994	0.6436
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	5	174491201	174492348	2	1.9656
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	5	174493087	180293075	2622	0.6149
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	959281	135943138	75795	0.0365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	135945010	135945410	2	-1.3124
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	135945699	144397367	4911	0.0445
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	144399630	144399810	3	-0.9554
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	144401373	147447317	1826	0.0492
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	147449819	147450332	2	-1.3966
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	6	147450673	170745844	13965	0.0295
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	671810	1470946	151	0.6943
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	1471103	1878748	131	0.4299
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	1879022	24001652	11911	0.7541
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	24006403	24006908	2	2.5053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	24007342	57927889	21202	0.7348
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	57928941	57939852	2	-0.5258
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	62749700	67287282	1458	0.7559
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	67288755	67291515	2	-0.6813
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	67291707	108405006	20291	0.759
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	108405403	108418886	4	-0.1779
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	108419015	110348418	1116	0.7896
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	110349574	110411402	34	0.354
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	110416246	110450365	19	0.6106
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	110464466	110562334	70	0.3245
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	7	111140597	158077879	24959	0.7807
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	8	607667	4420367	1933	-0.161
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	8	4420708	4420732	2	-1.5278
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	8	4422482	145304484	79609	-0.1665
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	9	779932	1801657	440	-0.4294
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	9	1806187	1807448	4	-1.4513
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E10_697634	9	1807749	4156215	1962	-0.4421
