Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	1	3208470	245880329	129039	0.0047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	2	474222	6647084	3576	0.0068
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	2	6647676	6648243	2	-2.1698
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	2	6648424	242124735	127679	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	3	526235	199023074	106352	0.0036
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	4	1043934	164888335	90463	-8e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	4	164888878	164892310	2	-2.5624
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	4	164899044	189836143	12254	-5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	5	967233	180293075	100486	0.0032
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	6	959281	170745844	96466	0.0045
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	7	671810	63453831	33502	0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	7	63455659	63457284	2	-3.3499
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	7	63460872	104621653	19451	-0.0012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	7	104622111	104622298	2	-2.3625
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	7	104622460	158077879	28339	0.0016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	8	607667	130624774	72780	7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	8	130625270	130625329	2	-2.5208
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	8	130627850	145304484	8727	-2e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	9	779932	140058573	67991	0.0023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	10	405240	135075077	80858	-0.0032
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	11	446120	133647740	77232	0.002
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	12	760163	131671419	73931	0.0026
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	13	18348806	114005560	56643	0.0047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	14	19571208	105059083	49441	0.0031
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	15	21238778	98563636	43941	0.0065
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	15	98564724	98565075	2	-2.5241
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	15	98565731	99701830	578	-0.0048
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	16	593460	87907437	40853	0.0029
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	17	933971	78510305	36981	0.0083
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	18	319586	75210228	42658	-0.0081
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	19	235018	63570038	23944	0.0063
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	20	403764	61690281	37269	0.0116
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	21	14269492	34857241	13006	0.0022
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	21	34858942	34860195	5	-1.4482
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	21	34862702	46503202	7563	0.0098
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	22	15803930	33999809	8925	0.0111
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	22	34000290	34000737	2	-1.6346
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	22	34002183	47717016	8004	0.0047
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	X	3167107	71418424	27537	0.0029
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	X	71419535	71429922	8	-1.0327
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	X	71431368	149068789	34359	0.0054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	X	149072768	149074013	2	-2.5337
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D11_697440	X	149074610	154558783	1829	-0.0141
