Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	3218610	55440013	27468	0.0584
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	55441040	55441076	2	-2.5513
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	55443605	72177417	11586	0.0882
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	72180619	72499082	167	-0.3071
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	72499295	85661442	7788	0.0854
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	85664882	85672749	3	-1.5509
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	1	85677847	247813706	82031	0.0709
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	2	484222	242476062	131250	0.0796
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	2212571	33991181	18848	-0.3673
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	33991747	33996862	2	-2.465
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	34000033	46011436	7120	-0.3603
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	46012836	46012840	2	-2.5634
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	46013301	106033427	31415	-0.3542
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	3	106038277	197538677	48874	0.079
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	1053934	4259085	1167	0.0353
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	4259631	4263288	3	-1.944
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	4263579	7553353	2432	0.0607
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	7553359	7553662	2	-1.4229
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	7556245	16257677	5623	0.0692
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	16258670	16266568	2	-2.1381
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	4	16267348	188763651	93478	0.0748
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G02_584954	5	914233	4673835	2408	0.1251
