Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	51598	225801	27	0.2804
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	346306	346405	2	1.9326
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	394034	1618278	198	0.0651
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	1618686	1662463	15	-0.9866
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	1677447	16679113	8465	0.0164
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	16679512	16826358	39	0.3691
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	16826429	16884097	25	-0.0214
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	16884147	16909130	24	0.5733
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	16909273	17055024	32	0.1269
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	17062591	17148828	64	0.6997
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	17150527	20755790	2544	0.0095
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	20756009	20756109	2	-5.0553
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	20756403	25455928	2727	0.0057
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	25465715	25491518	16	-2.8499
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	25491627	25534592	14	-1.0006
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	25534799	61885690	21466	0.0095
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	61886594	61892566	6	-1.0937
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	61893152	64403400	1754	0.0047
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H09_697730	1	64414660	64415865	4	-1.0367
