Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	61735	62920	5	0.4488
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	62937	5967750	2762	-0.4029
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	5968049	5971455	2	-2.2494
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	5972018	14262511	4191	-0.4106
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	14262577	14267767	4	0.8719
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	14274203	15360721	926	-0.4267
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	15362356	15362544	2	-2.3532
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	15366240	23198619	4911	-0.4133
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	23199311	23199402	2	-2.5173
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	23199726	25595881	1334	-0.4116
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	25595947	25646986	26	0.1801
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	25661501	72768916	28818	-0.411
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	72768936	72811148	45	1.5369
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	72811904	81048650	5207	-0.3793
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	81048805	81336886	162	-2.1629
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	81338600	104102788	14673	-0.3964
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	104103057	104221531	33	0.1178
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	104221631	110227396	3627	-0.3711
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	110227500	110250584	30	-0.0156
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	110250590	112690326	1941	-0.4177
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	112695965	112706140	32	0.2143
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	112706149	145372563	5445	-0.4075
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	145382124	148949202	912	0.0681
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	148950175	149758041	201	-0.5846
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	149769972	152555527	1463	0.073
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	152555706	152586594	35	1.2033
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	152590494	248605752	65589	0.0812
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	248610056	248610507	2	-1.8862
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	248621163	248736075	34	-0.0893
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	248737447	248871079	76	0.299
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	1	248872658	249224388	103	0.054
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	12784	4205687	2991	0.0805
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	4213864	4230062	43	-0.4983
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	4234782	34520473	20979	0.0746
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	34523978	34525580	2	-1.9551
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	34525967	34675467	91	0.0918
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	34681494	34737163	51	-0.2688
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	34737556	38954495	3200	0.1007
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	38955866	38972281	8	0.7608
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	38972826	49533042	7547	0.0638
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	49535768	49541190	5	-0.6857
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	49545041	52596977	2158	0.1203
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	52599360	52599968	2	-1.1635
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	52600309	52754468	120	0.0811
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	52754480	52781542	39	0.4798
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	52787949	76844466	15565	0.0734
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	76845173	76847586	6	-0.6606
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	76847626	87128201	6439	0.0929
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	87129203	87137385	2	-2.3868
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	87161853	101961951	4337	0.0355
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	101965113	101965367	3	-1.7713
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	101970319	110983430	5525	0.0694
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	110983668	111061274	12	-0.4447
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	111097151	184085788	44631	0.0765
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	184086397	184089724	8	-0.9211
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	184093998	208350191	14112	0.085
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	208350247	208350262	2	-1.5875
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	208350319	212830892	2803	0.0935
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	212837487	212915640	62	-0.7694
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	2	212926840	243089456	19295	0.0686
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	60345	13621320	11191	0.0913
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	13621532	13621911	4	-1.189
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	13624899	16028753	1568	0.0769
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	16030261	16032429	2	-1.0369
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	16032511	16239063	173	0.0552
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	16240556	16241179	6	-2.3364
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	16241325	26613201	7124	0.0977
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	26614974	26614985	8	-0.8205
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	26615949	75376110	32647	0.0784
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	75376462	75386141	7	-0.7255
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	75387457	75508554	53	0.0526
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	75514396	75782551	75	-0.238
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	75787319	129786739	29758	0.0939
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	129786753	129806236	42	0.557
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	129806924	162504667	20293	0.084
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162506530	162524858	16	0.7662
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162528630	162540490	10	-0.6329
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162545716	162623897	46	0.5655
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162625980	162714517	73	0.1902
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162717727	162719562	2	-2.3219
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	162726159	175880750	8090	0.1053
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	175882955	175914479	36	-0.5776
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	175916221	191284625	9866	0.0878
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	191284679	191284700	2	-1.9886
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	191285057	192872478	1115	0.0922
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	192872899	192882903	30	-0.2668
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	192886435	194723612	1242	0.0659
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	194731251	194731909	2	1.679
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	194731991	197838437	1442	0.0836
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	3	197838578	197896118	21	-0.4365
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B01_780746	4	12281	10214160	5799	-0.4397
