Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	1	3218610	247813706	129124	0.0042
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	2	484222	242476062	131298	-0.0012
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	3	2212571	58521124	32630	5e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	3	58522071	58525526	2	-1.6641
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	3	58526197	141402645	45287	-0.001
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	3	141403310	141411875	2	-1.3533
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	3	141416839	197538677	28464	-0.0033
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	1053934	14468917	7946	0.0017
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	14470103	14470327	3	-1.3132
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	14472634	110645634	52673	-0.003
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	110647775	110650275	6	-1.1694
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	110654640	143538179	18093	-0.0094
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	143540204	143542085	2	1.2375
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	143544960	153815900	5306	-0.0072
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	153818492	153818501	2	-1.3924
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	4	153818915	188763651	18718	-0.0101
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	5	914233	180360469	100512	-2e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	6	1014281	170903919	96494	0
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	705284	5209522	1721	0.0145
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	5210567	5214162	4	-1.0883
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	5215853	73333425	35958	-0.0044
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	73340525	73340743	2	-1.4019
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	73343152	75437685	469	-0.0085
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	75438763	75438780	2	-2.0093
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	75439696	92231016	8300	-0.0087
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	92235038	92235269	4	-1.5259
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	7	92236894	158385118	34851	-0.0072
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	8	617667	145232496	81540	-0.0019
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	9	789932	107819888	47541	0.0019
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	9	107820083	107822466	2	-1.3263
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	9	107822957	140938752	20466	0.0126
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E05_584916	10	415240	100375650	58837	-0.0029
