Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	1	3218610	247813706	129065	-8e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	2	484222	242476062	131221	0.0075
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	3	2212571	146303750	80302	-0.0022
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	3	146304497	146304597	2	-2.1391
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	3	146304893	197538677	26018	0.0026
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	4	1053934	109490564	59970	4e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	4	109492432	109520265	3	-2.0171
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	4	109530325	113041689	2035	0.0058
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	4	113045577	113051109	7	-0.9198
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	4	113055075	188763651	40663	0.0013
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	5	914233	12428777	8144	-0.004
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	5	12430103	12448529	6	-1.105
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	5	12451867	180360469	92307	-0.0018
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	6	1014281	6163937	3647	0.0032
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	6	6164170	6164208	2	-1.8848
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	6	6164316	148007144	79208	-8e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	6	148008137	148008880	2	-1.7438
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	6	148014547	170903919	13586	0.004
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	7	705284	21474610	10395	-0.0024
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	7	21479978	21497361	24	-1.0434
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	7	21507880	158385118	70853	-0.0034
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	8	617667	145232496	81500	0.0035
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	9	789932	80236769	29823	0.0049
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	9	80237140	80257797	17	0.4874
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	9	80259656	140938752	38145	0.0039
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	10	415240	135225087	80819	-0.0026
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	11	456120	134142530	77220	0.0014
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	12	889902	133161346	73899	0.0027
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	13	19450806	114987458	56618	-1e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	14	20501368	105988038	49412	5e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	15	23687685	101884307	44494	9e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	16	653459	89379936	40775	0.0021
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	17	987221	30818709	12037	3e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	17	30820129	30820176	2	-1.6382
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	17	30822975	80917016	24936	0.0024
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	18	329586	77109240	42628	0.0102
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	19	284018	58878226	23940	-0.0016
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	20	455764	62219837	37265	0.0018
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	21	15347621	19299725	2379	8e-04
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	21	19302730	19306328	3	-1.4566
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	21	19314396	47678774	18192	-0.0053
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	22	17423930	49331012	16914	0.0047
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	X	3157107	64835037	24783	0.0031
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	X	64841562	64844299	2	-3.875
MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_C10_734924	X	64844490	154905589	38878	0.0047
