Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	1	3218610	175020306	83165	0.0473
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	1	175020542	175021803	2	-1.9893
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	1	175022207	241171167	42185	0.0679
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	1	241171662	241173765	2	-1.6757
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	1	241173767	247813706	3543	0.0736
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	2	484222	242476062	131072	0.0503
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	3	2212571	83708962	47617	-0.3601
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	3	83717432	197538677	58497	0.0502
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	4	1053934	188763651	102568	0.0549
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	5	914233	180360469	100367	0.0515
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	6	1014281	69545429	37693	0.0453
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	6	69545776	170903919	58499	-0.35
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	7	705284	158385118	81188	0.0563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	8	617667	129707097	72154	0.0471
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	8	129708542	129709837	2	-2.325
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	8	129710968	145232496	9240	0.0509
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	9	789932	140938752	67908	0.0425
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	10	415240	135225087	80658	-0.155
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	11	456120	134142530	77108	0.0266
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	12	889902	112422684	62723	0.0476
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	12	112423062	112425746	2	-1.8511
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	12	112426014	133161346	11079	0.0387
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	13	19450806	97639414	45187	0.0324
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	13	97645270	97645968	2	-2.5021
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	13	97646094	114987458	11321	-0.1453
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	14	20501368	105988038	49352	0.045
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	15	23687685	101884307	44453	0.0385
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	16	653459	89379936	40702	-0.094
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	17	987221	80917016	36925	0.0295
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	18	329586	77109240	42579	0.0546
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	19	284018	58878226	23895	0.0262
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	20	455764	62219837	37188	0.034
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	21	15347621	47678774	20552	0.0365
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	22	17423930	49331012	16898	0.0318
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	X	3157107	29750572	11844	0.0065
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	X	29751313	29752131	2	-1.7566
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	X	29762477	32769118	1765	0.0505
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	X	32769140	32770666	2	1.8654
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B06_777042	X	32770723	154905589	50011	-3e-04
