Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	51598	742429	45	0.3802
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	747332	16022502	8361	0.0189
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	16026084	16026512	6	1.0354
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	16026788	16890217	369	-0.0664
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	16902179	16909130	6	1.0147
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	16909273	72541006	34137	-0.0254
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	72541086	72583736	47	0.839
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	72584492	103960907	20093	0.0314
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	103965022	104027091	14	-1.0803
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	104041212	104108766	17	0.6635
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	104108781	105820833	917	0.0367
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	105820893	105826321	19	-0.5154
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	105830197	110025907	2645	0.0289
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	110025950	110044476	32	1.4441
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	110046521	110058147	20	0.4975
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	110062265	114754798	3362	0.0261
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	114757312	114757930	2	-1.6887
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	114760980	150822151	6631	0.1013
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	150822330	150853200	34	-2.3476
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	150853218	167483561	11548	0.17
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	167500598	167505369	6	-5.299
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	167508390	173062889	3524	0.1663
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	173063028	173068463	17	0.7969
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	173068477	192714857	13203	0.169
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	192718034	192721641	2	-1.7563
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	192723639	194981496	1453	0.1838
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	194994473	194998709	4	-2.0345
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	195005246	208137685	8902	0.1765
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	208148236	208150607	3	-2.9584
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	208153175	216055212	5530	0.1627
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	216055395	216055594	3	-1.2267
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	216055607	216882905	595	0.1589
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	216887782	216899837	3	-1.0958
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	1	216902603	247191011	20983	0.1548
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	2784	3881822	2754	0.0488
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	3881868	3882321	2	-2.2969
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	3882875	4176616	222	-0.0201
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	4176896	4201387	43	0.4007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	4201442	6712095	2151	0.0455
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	6712221	6712781	4	-1.4366
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	6713057	34516482	18909	0.0316
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	34516862	34571412	38	0.5157
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	34571478	34590561	17	0.9537
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	34590667	35942146	974	0.0352
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	35942976	35943433	2	-2.1677
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	35945333	41091739	3852	0.0374
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	41091947	41096347	16	-0.7356
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	41096372	52608065	8198	0.0319
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	52608232	52660023	51	0.5415
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	52660978	79099616	17116	0.0336
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	79101174	79104376	2	-1.8094
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	79104954	97080999	6841	0.0504
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	97082063	97592046	114	0.3318
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	97607624	106241081	5553	0.0367
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	106241154	106251789	13	0.7796
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	106253840	205094844	58965	0.0362
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	205094857	205095400	2	-2.3054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	205095465	207655721	1685	0.045
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	207657102	207657327	2	-1.4707
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	207658754	207684447	17	0.1273
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	207685050	207685431	3	-0.9364
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	207685498	208058564	260	0.0478
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	208058871	208064361	13	0.6368
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H06_697422	2	208066532	242586061	22017	0.0334
