Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	3208470	120328884	67645	-0.1485
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	142745296	179644152	19336	0.3311
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	179644427	179644957	3	-0.8974
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	179646135	216216089	23204	0.3401
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	216216106	216216121	2	-1.0019
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	1	216218974	245880329	18740	0.3367
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	474222	85185956	48971	0.1225
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	85185971	85186917	2	-1.2748
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	85187487	173009625	42691	0.1282
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	173012247	173012282	2	-0.9594
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	173012728	176313495	2117	0.1264
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	176317883	176351807	25	-0.5231
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	176356284	178476203	1376	-0.1492
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	178476747	178478939	4	-0.615
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	2	178479202	242124735	35952	-0.1362
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	3	526235	6682179	2148	-0.1436
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	3	6684275	71417167	38633	-0.4853
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	3	71418480	199023074	65433	-0.1253
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	4	1043934	8639118	4229	-0.1812
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	4	8639175	8655763	11	-0.6665
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	4	8656980	109710013	55677	-0.1335
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	4	109711881	109739714	3	-1.5867
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	4	109749774	189836143	42679	-0.1252
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	5	967233	180293075	100410	0.1347
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	959281	16362577	10773	0.1186
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	16362848	16387663	12	-0.5019
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	16391925	29761308	7908	0.1233
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	29761356	29783770	15	-0.3038
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	29784295	134508254	56002	0.1335
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	134508387	134508599	2	-1.236
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	134508691	162403604	17876	0.1371
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	162515362	162523276	9	-0.7717
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	162535978	163298825	172	0.1187
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	163298882	163301701	2	-1.0185
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	6	163303205	170745844	3615	0.1271
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	7	671810	144349300	74137	0.1274
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	7	144351714	144385554	26	0.7448
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	7	144386169	158077879	7071	0.1179
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	8	607667	57045691	29773	-0.1496
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	8	57046643	57047149	2	-1.2935
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	8	57048792	69551771	7285	-0.1314
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	8	69553440	69615968	36	0.2698
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	8	69620411	145304484	44323	-0.1369
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	9	779932	140058573	67905	-0.1437
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	10	405240	79853216	46274	-0.1463
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	10	79854445	79857711	2	-1.9933
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	10	79862724	95335416	9350	-0.1437
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	10	95335706	135075077	25131	0.1204
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	11	446120	133647740	77167	0.1208
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	760163	64351211	34316	0.1188
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	64351403	64356567	2	-1.0948
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	64357427	72224172	5026	0.1289
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	72225785	72225823	2	1.3233
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	72226650	86332307	8232	0.1348
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	86332959	86333477	2	-0.9674
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	86337518	89745293	1917	0.1386
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	89750072	89750819	3	0.8852
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	89754071	93083378	2174	0.1287
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	93083844	93084140	2	-1.0648
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	12	93086479	131671419	22176	0.1093
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	13	18348806	114005560	56554	-0.1339
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	14	19571208	32944703	7013	-0.4723
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	14	32944730	32945439	2	-1.8872
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	14	32945654	33495959	491	-0.4508
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	14	33496569	33497820	2	-2.1148
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	14	33501426	105059083	41797	-0.4832
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	15	21238778	99701830	44478	0.1159
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	16	593460	69396838	28795	0.1066
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	16	69403572	69776095	75	0.3775
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	16	69776973	87907437	11956	0.1137
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	17	933971	64996673	30341	0.0981
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	17	65000374	65001825	3	-0.9991
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	17	65013733	78510305	6598	0.0929
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	18	319586	75210228	42612	0.1342
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	19	235018	63570038	23918	0.0784
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	20	403764	55928847	33587	0.1047
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	20	55928963	55930335	5	-0.9477
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	20	55932723	61690281	3632	0.0978
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	21	14269492	46503202	20571	0.1181
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	22	15803930	47717016	16907	0.0908
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	X	3167107	112840453	44764	-0.0049
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	X	112841080	112841865	3	2.49
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A04_777156	X	112844562	154558783	18790	-0.0022
