GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c6377a48-f3be-47df-9b4f-ac09f5178152	1	62920	3298168	737	0.1032
c6377a48-f3be-47df-9b4f-ac09f5178152	1	3301765	15163186	7172	0.0161
c6377a48-f3be-47df-9b4f-ac09f5178152	1	15163303	15163366	2	-1.6144
c6377a48-f3be-47df-9b4f-ac09f5178152	1	15163435	15828471	432	0.0187
c6377a48-f3be-47df-9b4f-ac09f5178152	1	15828515	15844541	7	0.5317
c6377a48-f3be-47df-9b4f-ac09f5178152	1	15850269	16643897	321	0.0022
c6377a48-f3be-47df-9b4f-ac09f5178152	1	16643961	16785682	24	0.2061
c6377a48-f3be-47df-9b4f-ac09f5178152	1	16787932	16934753	52	0.5854
c6377a48-f3be-47df-9b4f-ac09f5178152	1	16934768	17188269	175	0.0208
c6377a48-f3be-47df-9b4f-ac09f5178152	1	17192378	17192712	4	-0.8132
c6377a48-f3be-47df-9b4f-ac09f5178152	1	17193188	21996664	3168	0.0147
c6377a48-f3be-47df-9b4f-ac09f5178152	1	22001786	22015896	6	-1.0408
c6377a48-f3be-47df-9b4f-ac09f5178152	1	22017709	30265508	4323	0.0158
c6377a48-f3be-47df-9b4f-ac09f5178152	1	30265585	30266949	5	-4.879
c6377a48-f3be-47df-9b4f-ac09f5178152	1	30268649	72297687	26328	0.0151
c6377a48-f3be-47df-9b4f-ac09f5178152	1	72302735	72345393	46	-0.8356
c6377a48-f3be-47df-9b4f-ac09f5178152	1	72345450	89009572	10935	0.0164
c6377a48-f3be-47df-9b4f-ac09f5178152	1	89012275	89012522	2	-3.1731
c6377a48-f3be-47df-9b4f-ac09f5178152	1	89015841	103560608	9057	0.0129
c6377a48-f3be-47df-9b4f-ac09f5178152	1	103566616	103613109	20	0.5508
c6377a48-f3be-47df-9b4f-ac09f5178152	1	103613180	103697067	10	-0.2451
c6377a48-f3be-47df-9b4f-ac09f5178152	1	103697364	105476614	922	0.0173
c6377a48-f3be-47df-9b4f-ac09f5178152	1	105476688	105479753	15	0.6848
c6377a48-f3be-47df-9b4f-ac09f5178152	1	105481433	111385772	3971	0.0223
c6377a48-f3be-47df-9b4f-ac09f5178152	1	111386515	111390609	5	-0.9054
c6377a48-f3be-47df-9b4f-ac09f5178152	1	111393046	112153571	624	0.0065
c6377a48-f3be-47df-9b4f-ac09f5178152	1	112153651	112154619	20	-0.4427
c6377a48-f3be-47df-9b4f-ac09f5178152	1	112154754	121601998	5159	0.0069
c6377a48-f3be-47df-9b4f-ac09f5178152	1	121705338	143927536	126	-0.8401
c6377a48-f3be-47df-9b4f-ac09f5178152	1	143927887	143942271	3	-2.1435
c6377a48-f3be-47df-9b4f-ac09f5178152	1	144432083	152583230	2315	0.0476
c6377a48-f3be-47df-9b4f-ac09f5178152	1	152583291	152613762	30	0.6573
c6377a48-f3be-47df-9b4f-ac09f5178152	1	152613802	152787202	170	0.0372
c6377a48-f3be-47df-9b4f-ac09f5178152	1	152789447	152795883	35	-0.5998
c6377a48-f3be-47df-9b4f-ac09f5178152	1	152796094	153018584	170	0.0304
c6377a48-f3be-47df-9b4f-ac09f5178152	1	153023248	153028238	4	-0.9848
c6377a48-f3be-47df-9b4f-ac09f5178152	1	153028502	169247699	11111	0.0178
c6377a48-f3be-47df-9b4f-ac09f5178152	1	169264736	169272528	7	0.8471
c6377a48-f3be-47df-9b4f-ac09f5178152	1	169273163	193753412	16233	0.0205
c6377a48-f3be-47df-9b4f-ac09f5178152	1	193757206	193766389	3	-1.5991
c6377a48-f3be-47df-9b4f-ac09f5178152	1	193768328	196762956	1944	0.0302
c6377a48-f3be-47df-9b4f-ac09f5178152	1	196769493	196843377	55	-0.4347
c6377a48-f3be-47df-9b4f-ac09f5178152	1	196843400	196846661	2	-3.9111
c6377a48-f3be-47df-9b4f-ac09f5178152	1	196847600	248930189	35815	0.0227
c6377a48-f3be-47df-9b4f-ac09f5178152	2	12784	34466002	24080	0.0188
c6377a48-f3be-47df-9b4f-ac09f5178152	2	34474248	34502800	44	0.7321
c6377a48-f3be-47df-9b4f-ac09f5178152	2	34511446	35750907	870	0.0057
c6377a48-f3be-47df-9b4f-ac09f5178152	2	35752724	35762850	6	-1.6794
c6377a48-f3be-47df-9b4f-ac09f5178152	2	35762881	41011095	3927	0.0245
c6377a48-f3be-47df-9b4f-ac09f5178152	2	41011303	41018747	22	-0.8906
c6377a48-f3be-47df-9b4f-ac09f5178152	2	41024093	52514599	8175	0.0198
c6377a48-f3be-47df-9b4f-ac09f5178152	2	52516787	52554404	41	0.6097
c6377a48-f3be-47df-9b4f-ac09f5178152	2	52560811	97359885	23847	0.0152
c6377a48-f3be-47df-9b4f-ac09f5178152	2	97524284	97545726	9	-1.0862
c6377a48-f3be-47df-9b4f-ac09f5178152	2	97550415	106263639	5567	0.0074
c6377a48-f3be-47df-9b4f-ac09f5178152	2	106264257	106268901	11	0.6769
c6377a48-f3be-47df-9b4f-ac09f5178152	2	106270952	128880504	13387	0.0168
c6377a48-f3be-47df-9b4f-ac09f5178152	2	128880904	128882741	15	-0.8165
c6377a48-f3be-47df-9b4f-ac09f5178152	2	128882755	146107615	10424	0.0178
c6377a48-f3be-47df-9b4f-ac09f5178152	2	146107675	146109366	16	0.8877
c6377a48-f3be-47df-9b4f-ac09f5178152	2	146120238	193769288	28838	0.0144
c6377a48-f3be-47df-9b4f-ac09f5178152	2	193771901	193773983	3	-1.5559
c6377a48-f3be-47df-9b4f-ac09f5178152	2	193774435	205626456	6936	0.0121
c6377a48-f3be-47df-9b4f-ac09f5178152	2	205626991	205627269	2	-1.2963
c6377a48-f3be-47df-9b4f-ac09f5178152	2	205628534	211123543	3380	0.0145
c6377a48-f3be-47df-9b4f-ac09f5178152	2	211123653	211125464	11	-0.6384
c6377a48-f3be-47df-9b4f-ac09f5178152	2	211125630	242147305	19882	0.0162
c6377a48-f3be-47df-9b4f-ac09f5178152	3	20930	13579496	11139	-0.3382
c6377a48-f3be-47df-9b4f-ac09f5178152	3	13579820	13580089	4	-1.6012
c6377a48-f3be-47df-9b4f-ac09f5178152	3	13580411	20271633	4098	-0.3502
c6377a48-f3be-47df-9b4f-ac09f5178152	3	20273630	20274591	2	-1.9783
c6377a48-f3be-47df-9b4f-ac09f5178152	3	20286589	25998030	4380	-0.3302
c6377a48-f3be-47df-9b4f-ac09f5178152	3	26000038	26003778	2	-2.1286
c6377a48-f3be-47df-9b4f-ac09f5178152	3	26004627	39709264	9172	-0.3414
c6377a48-f3be-47df-9b4f-ac09f5178152	3	39721253	39736588	8	-2.0468
c6377a48-f3be-47df-9b4f-ac09f5178152	3	39737767	65200174	16474	-0.3407
c6377a48-f3be-47df-9b4f-ac09f5178152	3	65202778	65224777	53	-1.3788
c6377a48-f3be-47df-9b4f-ac09f5178152	3	65230674	68675541	2414	-0.3509
c6377a48-f3be-47df-9b4f-ac09f5178152	3	68676600	68698262	17	-1.5194
c6377a48-f3be-47df-9b4f-ac09f5178152	3	68699607	82706220	8955	-0.3421
c6377a48-f3be-47df-9b4f-ac09f5178152	3	82706841	82707026	2	-1.9975
c6377a48-f3be-47df-9b4f-ac09f5178152	3	82709592	99218940	6936	-0.3444
c6377a48-f3be-47df-9b4f-ac09f5178152	3	99225614	99230577	38	-0.7578
c6377a48-f3be-47df-9b4f-ac09f5178152	3	99232120	146756356	29164	-0.3404
c6377a48-f3be-47df-9b4f-ac09f5178152	3	146756536	146758696	3	-2.2818
c6377a48-f3be-47df-9b4f-ac09f5178152	3	146759265	147650849	463	-0.3014
c6377a48-f3be-47df-9b4f-ac09f5178152	3	147651241	147652486	3	-1.8575
c6377a48-f3be-47df-9b4f-ac09f5178152	3	147653282	149245189	996	-0.3319
c6377a48-f3be-47df-9b4f-ac09f5178152	3	149245608	149248900	22	-0.9656
c6377a48-f3be-47df-9b4f-ac09f5178152	3	149248956	162777833	8323	-0.3456
c6377a48-f3be-47df-9b4f-ac09f5178152	3	162778121	162898127	73	0.18
c6377a48-f3be-47df-9b4f-ac09f5178152	3	162906054	162908784	7	-0.7756
c6377a48-f3be-47df-9b4f-ac09f5178152	3	162908815	162996729	71	-0.4048
c6377a48-f3be-47df-9b4f-ac09f5178152	3	162999939	163001774	2	-2.6942
c6377a48-f3be-47df-9b4f-ac09f5178152	3	163008371	164008569	572	-0.34
c6377a48-f3be-47df-9b4f-ac09f5178152	3	164008570	164009675	2	-2.0551
c6377a48-f3be-47df-9b4f-ac09f5178152	3	164010791	169012392	2789	-0.3508
c6377a48-f3be-47df-9b4f-ac09f5178152	3	169015614	169020840	2	-2.2891
c6377a48-f3be-47df-9b4f-ac09f5178152	3	169022039	193162798	15714	-0.3433
c6377a48-f3be-47df-9b4f-ac09f5178152	3	193162937	193165114	11	-1.7192
c6377a48-f3be-47df-9b4f-ac09f5178152	3	193168646	195559056	1484	-0.3356
c6377a48-f3be-47df-9b4f-ac09f5178152	3	195656271	195720051	25	-0.8209
c6377a48-f3be-47df-9b4f-ac09f5178152	3	195728637	197322591	763	-0.32
c6377a48-f3be-47df-9b4f-ac09f5178152	3	197327674	197330101	3	-2.3438
c6377a48-f3be-47df-9b4f-ac09f5178152	3	197331531	198169247	417	-0.2896
c6377a48-f3be-47df-9b4f-ac09f5178152	4	68929	507647	186	0.0251
c6377a48-f3be-47df-9b4f-ac09f5178152	4	509122	1059384	170	0.1673
c6377a48-f3be-47df-9b4f-ac09f5178152	4	1060146	10208766	5346	0.0263
c6377a48-f3be-47df-9b4f-ac09f5178152	4	10221792	10229874	28	-2.516
c6377a48-f3be-47df-9b4f-ac09f5178152	4	10232590	10233644	7	-1.1415
c6377a48-f3be-47df-9b4f-ac09f5178152	4	10234518	34777432	16974	0.0185
c6377a48-f3be-47df-9b4f-ac09f5178152	4	34784878	34828306	41	0.712
c6377a48-f3be-47df-9b4f-ac09f5178152	4	34828327	63828222	16559	0.0227
c6377a48-f3be-47df-9b4f-ac09f5178152	4	63831751	63841887	21	-1.019
c6377a48-f3be-47df-9b4f-ac09f5178152	4	63842036	63842540	6	-3.0521
c6377a48-f3be-47df-9b4f-ac09f5178152	4	63850713	68418873	2858	0.0208
c6377a48-f3be-47df-9b4f-ac09f5178152	4	68422420	68422424	3	1.1466
c6377a48-f3be-47df-9b4f-ac09f5178152	4	68429081	68478894	9	0.186
c6377a48-f3be-47df-9b4f-ac09f5178152	4	68494770	68663241	73	-0.3906
