Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	3208470	75530993	40894	0.0038
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	75536079	75541052	2	-1.2771
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	75547266	85364258	6032	0.0027
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	85367025	85371215	6	-0.8889
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	85372914	234436497	74793	7e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	234445332	234644009	137	-1.066
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	1	234651632	245880329	7160	3e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	2	474222	174593272	92913	0.0022
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	2	174593842	174604756	10	-0.4968
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	2	174604919	242124735	38353	4e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	3	526235	199023074	106344	0.0022
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	4	1043934	189836143	102699	0.0013
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	5	967233	180293075	100469	-5e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	959281	38983399	22648	0.0034
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	38983504	38983730	3	-1.1568
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	38983760	39062450	66	-0.0238
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	39062829	39066103	2	-1.8009
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	39068231	67287396	13602	1e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	67287952	67289644	5	0.7313
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	67293498	68264726	690	-0.0045
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	68271876	68272068	2	-1.0688
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	68272746	91632537	13263	0.003
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	91633274	91633590	2	-1.4477
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	6	91634535	170745844	46164	0.0027
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	7	671810	73780040	37967	-0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	7	73835664	73846248	2	-1.4066
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	7	73894856	158077879	43328	-0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	8	607667	145304484	81499	2e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	9	779932	28503310	17536	6e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	9	28503818	28533418	7	-1.3076
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	9	28533775	133675817	47631	0.0021
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	9	133676107	133679142	2	-1.3558
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	9	133680851	140058573	2805	0
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	10	405240	135075077	80847	0.0031
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	11	446120	133647740	77227	0.003
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	12	760163	131671419	73925	0.0014
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	18348806	20933175	1030	-4e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	20936825	20938557	2	-1.0998
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	20947554	22636752	1122	-0.0049
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	22637644	22638990	2	-1.2232
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	22641943	89868323	38980	0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	89870386	89874259	2	-1.1655
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	89874726	106180636	10749	0.004
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	106182239	106182711	2	-1.4138
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	13	106183236	114005560	4746	0.0049
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	14	19571208	23277522	1341	0.0145
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	14	23284704	23295410	12	0.557
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	14	23301441	105059083	48070	-0.0012
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	15	21238778	31448276	3856	-0.0034
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	15	31465023	31504089	51	-1.0617
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	15	31507839	99701830	40611	0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	16	593460	71924322	30030	-0.0019
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	16	71926561	71926687	3	1.0863
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	16	71927865	81794927	7500	0.0055
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	16	81795007	81851744	38	-1.2107
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	16	81851914	87907437	3279	-0.0033
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	17	933971	9256781	4128	2e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	17	9260360	9260392	2	-1.2873
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	17	9262098	46451154	15884	0.0027
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	17	46454663	46462562	4	-0.9526
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	17	46463113	78510305	16942	8e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	18	319586	43286436	24065	-0.0029
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	18	43287278	43287484	3	-0.9841
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	18	43288517	75210228	18580	-0.0023
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	235018	33184178	9142	0.0043
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	33184559	33184655	2	-2.242
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	33184802	35784264	1995	0.0051
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	35787466	35788774	3	-1.0729
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	35789544	52565127	8290	0.0051
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	52568841	52569773	5	-0.8549
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	19	52569957	63570038	4506	-0.0017
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	20	403764	61690281	37261	0.0042
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	21	14269492	46503202	20575	0.0018
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	22	15803930	47717016	16923	0.003
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	X	3167107	116063748	46035	0.0056
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	X	116073315	116074699	3	-2.4969
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	X	116075065	127782549	5699	0.0058
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	X	127782895	127783151	3	-3.0377
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H06_748520	X	127783958	154558783	11873	-4e-04
