Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	1	3218610	247813706	129114	0.0124
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	2	484222	242476062	131274	-0.0038
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	2212571	63712788	35346	-0.4371
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	63713245	63713969	2	-3.1136
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	63715066	69346680	4016	-0.4471
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	69347922	69692981	258	-0.0154
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	69697021	73405263	2612	-0.4392
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	73406482	74134567	593	-0.0089
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	74137057	74885181	457	-0.4448
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	74885751	74890841	3	-2.4158
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	74891479	79316117	2096	-0.453
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	79317260	81294558	1100	-6e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	81294845	81951460	360	-0.4682
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	81956051	82625229	360	0.0043
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	82625877	82627967	2	-1.4646
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	3	82638338	197538677	59072	0.2081
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	4	1053934	17443458	10091	-0.0041
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	4	17447699	17542175	90	0.5872
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	4	17544332	188763651	92535	-0.0067
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	914233	104912210	54968	-0.0035
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	104915894	105563603	315	0.3253
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	105565788	116124275	6517	-0.0108
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	116124733	118669094	1568	0.3265
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	118675446	120929345	1180	-0.0232
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	120929360	128397565	4424	0.3233
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	128397709	128516001	62	-0.0284
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	5	128539373	180360469	31470	0.3948
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	6	1014281	5486254	3181	0.1163
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	6	5492068	5493530	2	-1.1296
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	6	5493980	170903919	93288	0.0049
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	7	705284	16803990	8209	0.1159
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	7	16806301	16808472	2	-1.6808
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	7	16811553	158385118	73102	0.106
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	617667	21310678	11861	-0.0755
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	21310773	21314377	3	-1.618
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	21314395	55286976	16936	-0.0472
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	55289587	55291836	5	-0.9315
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	55292539	99678787	25602	-0.0048
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	99681703	99687240	2	1.4729
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	8	99690726	145232496	27107	-0.006
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	9	789932	140938752	68009	-0.0101
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	10	415240	135225087	80850	-0.0132
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	11	456120	134142530	77225	-0.004
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	12	889902	133161346	73940	0.1084
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	13	19450806	114987458	56636	2e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	14	20501368	79500479	33341	-0.4263
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	14	79501732	79565107	50	-1.0222
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	14	79570550	105988038	15931	-0.4269
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	15	23687685	101884307	44524	0.1113
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	16	653459	81093118	35843	0.1104
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	16	81093892	81095072	3	-1.3039
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	16	81097198	89379936	4951	0.1161
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	17	987221	8872592	3846	-0.0047
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	17	8873210	8873450	2	-2.2846
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	17	8874129	80917016	33130	-5e-04
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	18	329586	77109240	42638	-0.1117
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	19	284018	14914886	5262	-0.0085
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	19	14914914	14922883	6	-0.8057
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	19	14923037	58878226	18672	-0.0041
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A06_748612	20	455764	49415702	28539	0.0055
