Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	51598	4503964	1602	-0.0462
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	4505263	4505282	2	-1.2963
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	4505789	10294425	3601	0.0099
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	10296857	10297187	2	-1.5885
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	10299830	15362197	2778	0.0115
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	15362212	15362244	3	-0.963
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	15362269	16022502	427	0.0052
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16026084	16027597	10	-0.4371
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16038248	16703407	296	0.0362
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16704450	16878321	48	-0.4025
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16878363	16885328	14	0.2157
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16885372	16965844	30	-0.3221
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	16966004	17467483	317	-0.0344
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	17468289	17491882	20	0.6307
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	17492596	22374303	3200	0.0097
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	22376363	22376859	2	-2.4889
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	22380010	25431147	1804	0.012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	25434674	25559852	54	-0.2956
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	25560131	34864261	4953	0.0175
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	34875241	34877078	20	-0.9298
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	34886855	72535958	23783	-0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	72541006	72583736	48	-2.0264
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	72584492	75823432	1932	-0.0164
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	75827351	75827442	2	-3.3939
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	75832097	91965852	10832	-0.0095
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	91966250	91968240	2	-1.4026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A07_697692	1	91968641	103839833	7301	-0.0053
