Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	61735	564621	32	0.4666
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	603590	12862241	6482	-0.8094
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	12862250	12867510	10	0.0784
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	12867643	12927107	20	-0.5867
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	12927856	17195155	2268	0.0274
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	17203497	17262247	60	-0.2755
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	17276241	25558560	5260	0.0252
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	25562087	25680783	49	0.3299
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	25685715	30738432	2391	0.0336
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	30738504	30739796	5	-0.7654
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	30741496	31407628	518	0.0153
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	31408056	31408109	2	1.5116
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	31411078	72775134	25929	0.0109
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	72779080	72811904	38	0.2838
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	72812440	76050844	1930	0.0041
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	76054763	76054854	2	-2.3565
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	76059509	96260520	13366	-0.0029
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	96268115	97631933	813	-0.8097
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	97635212	97636094	2	-2.9051
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	97636528	104159384	3966	-0.7901
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	104163499	104163787	2	1.5204
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	104178038	106019205	945	-0.7831
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	106019236	106022375	16	-2.122
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	106024055	110224384	2648	-0.7946
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	110224427	110244998	32	0.4515
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	110246126	112690326	1947	-0.8299
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	112695965	112706060	27	-0.2985
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	112706062	120109260	4713	-0.8152
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	120110074	120110257	2	-3.2461
EVICT_p_TCGAb_329_NSP_GenomeWideSNP_6_B12_1367798	1	120110511	121436219	454	-0.7589
