GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	62920	98602	13	0.5097
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	259407	3194171	673	-0.0829
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	3195853	25256850	13331	-0.0011
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	25266637	25320253	23	0.5395
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	25320455	30106075	2246	-0.0018
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	30106380	30107092	2	-1.4896
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	30108032	30864570	630	0.0046
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	30867589	30867774	2	-1.1967
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	30868159	34626073	2072	0.0005
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	34637053	34648667	21	-0.6479
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	34649941	105470754	44773	0.0001
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	105476583	105479753	17	0.6573
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	105481433	109684893	2638	-0.0003
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	109690352	109697556	13	1.19
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	109702376	110833598	836	-0.0007
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	110834746	110845562	38	-0.7536
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	110845604	143927887	6389	0.0058
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	143928045	143942271	2	-1.7439
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	144432083	152583230	2315	0.0006
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	152583291	152613762	30	-2.1507
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	152613802	152789447	172	0.002
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	152789463	152796224	36	0.4938
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	152801429	161647612	5265	-0.0013
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	161647641	161678447	10	0.8342
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	161678831	164406205	2146	-0.0049
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	164409396	170648305	4892	0.0105
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	170649098	170649838	3	-0.9428
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	170653968	180504497	6295	0.0153
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	180504995	196745743	10861	-0.0113
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	196758720	196843377	59	-0.7054
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	196843400	219458520	15473	-0.0033
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	219460527	219461038	2	-2.5195
084b0ec4-eb1a-4c48-be9e-d62a904f917f	1	219461445	248930189	20347	0.0013
084b0ec4-eb1a-4c48-be9e-d62a904f917f	2	12784	4158097	2988	-0.0041
084b0ec4-eb1a-4c48-be9e-d62a904f917f	2	4166274	4176429	42	-0.5972
