GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	62920	259422	15	-0.0786
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	259926	1715891	199	-0.5534
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	1716055	1741164	12	-1.9795
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	1756148	10610834	5082	-0.5673
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	10611363	10616743	2	-2.368
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	10619664	25256850	8578	-0.5574
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	25266637	25319693	21	-2.2175
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	25320198	36869632	6023	-0.5397
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	36869950	36876656	4	-4.3257
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	36879127	47108149	5709	-0.5453
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	47108308	50478962	1992	-0.5964
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	50479191	53246063	1299	-0.5051
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	53246104	102003756	32528	-0.582
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	102003830	102479016	322	-0.5127
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	102480786	102483851	2	-3.2594
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	102485932	103614714	530	-0.5399
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	103615687	103616762	3	-1.8906
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	103620877	105470754	917	-0.5649
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	105476583	105481468	20	-0.0076
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	105481515	109684695	2605	-0.5572
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	109684893	109702376	15	0.161
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	109703504	112147704	1926	-0.5743
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	112153343	112163576	35	-0.153
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	112163583	121601998	5101	-0.5647
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	121705338	143748590	102	0.1507
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	143748728	143796140	19	0.4986
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	143811517	152583230	2300	0.0696
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	152583291	152614064	32	-1.5754
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	152614100	153023646	373	0.0646
cdb0823c-6193-4fa4-8c99-b3b065f419f0	1	153023685	153028238	2	-1.2739
