GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b79710bf-f3d4-4122-95fe-85316c285ff2	1	62920	3302046	736	-0.1642
b79710bf-f3d4-4122-95fe-85316c285ff2	1	3302359	12813243	5755	-0.0085
b79710bf-f3d4-4122-95fe-85316c285ff2	1	12817195	13326062	20	0.4135
b79710bf-f3d4-4122-95fe-85316c285ff2	1	13338980	16162174	1944	0.0041
b79710bf-f3d4-4122-95fe-85316c285ff2	1	16162328	16169351	4	-1.8037
b79710bf-f3d4-4122-95fe-85316c285ff2	1	16169419	25256850	5521	-0.021
b79710bf-f3d4-4122-95fe-85316c285ff2	1	25266637	25292440	16	0.8702
b79710bf-f3d4-4122-95fe-85316c285ff2	1	25292549	30265508	2389	-0.0016
b79710bf-f3d4-4122-95fe-85316c285ff2	1	30265585	30268649	7	-0.9925
b79710bf-f3d4-4122-95fe-85316c285ff2	1	30268809	72297687	26290	0.002
b79710bf-f3d4-4122-95fe-85316c285ff2	1	72302735	72345255	45	-0.9399
b79710bf-f3d4-4122-95fe-85316c285ff2	1	72345393	147631053	31464	0.0032
b79710bf-f3d4-4122-95fe-85316c285ff2	1	147631169	147636461	2	-2.3255
b79710bf-f3d4-4122-95fe-85316c285ff2	1	147636476	150830551	730	-0.029
b79710bf-f3d4-4122-95fe-85316c285ff2	1	150836413	150836640	2	-2.0036
b79710bf-f3d4-4122-95fe-85316c285ff2	1	150838529	152582700	959	0.008
b79710bf-f3d4-4122-95fe-85316c285ff2	1	152583051	152614064	33	-1.933
b79710bf-f3d4-4122-95fe-85316c285ff2	1	152614100	152614118	2	-0.7039
b79710bf-f3d4-4122-95fe-85316c285ff2	1	152618018	196762956	29646	0.0039
b79710bf-f3d4-4122-95fe-85316c285ff2	1	196769493	196775070	14	-0.2838
b79710bf-f3d4-4122-95fe-85316c285ff2	1	196778780	196780051	7	-0.9862
b79710bf-f3d4-4122-95fe-85316c285ff2	1	196780087	196843377	34	-0.2622
b79710bf-f3d4-4122-95fe-85316c285ff2	1	196843400	196846661	2	-3.735
b79710bf-f3d4-4122-95fe-85316c285ff2	1	196847600	240228440	29895	0.0024
b79710bf-f3d4-4122-95fe-85316c285ff2	1	240230715	240230839	6	-1.8626
b79710bf-f3d4-4122-95fe-85316c285ff2	1	240232805	248930189	5856	0.0083
b79710bf-f3d4-4122-95fe-85316c285ff2	2	12784	4158097	2981	-0.0118
b79710bf-f3d4-4122-95fe-85316c285ff2	2	4166274	4175577	36	-0.6998
b79710bf-f3d4-4122-95fe-85316c285ff2	2	4175922	7553140	2924	-0.0059
b79710bf-f3d4-4122-95fe-85316c285ff2	2	7553267	7555725	3	-1.3267
b79710bf-f3d4-4122-95fe-85316c285ff2	2	7556943	10001063	1753	0.0004
b79710bf-f3d4-4122-95fe-85316c285ff2	2	10012856	10014845	2	-1.9769
b79710bf-f3d4-4122-95fe-85316c285ff2	2	10017647	34466002	16327	-0.0018
b79710bf-f3d4-4122-95fe-85316c285ff2	2	34474248	34511990	46	-2.5629
b79710bf-f3d4-4122-95fe-85316c285ff2	2	34512096	52527743	12996	0.0046
b79710bf-f3d4-4122-95fe-85316c285ff2	2	52531615	52554404	33	0.6931
b79710bf-f3d4-4122-95fe-85316c285ff2	2	52560811	152930971	57400	0.0004
b79710bf-f3d4-4122-95fe-85316c285ff2	2	152939554	152940270	3	-2.1065
b79710bf-f3d4-4122-95fe-85316c285ff2	2	152944055	242147305	54776	0.0017
b79710bf-f3d4-4122-95fe-85316c285ff2	3	20930	807119	647	0.085
b79710bf-f3d4-4122-95fe-85316c285ff2	3	815775	825176	10	-0.8788
b79710bf-f3d4-4122-95fe-85316c285ff2	3	825606	2713514	1676	0.0585
b79710bf-f3d4-4122-95fe-85316c285ff2	3	2713743	6604856	3473	0.0063
b79710bf-f3d4-4122-95fe-85316c285ff2	3	6609441	6613743	28	0.4396
b79710bf-f3d4-4122-95fe-85316c285ff2	3	6616577	21639601	10342	-0.0036
b79710bf-f3d4-4122-95fe-85316c285ff2	3	21640191	22077450	447	0.1174
b79710bf-f3d4-4122-95fe-85316c285ff2	3	22080503	68697013	31100	0.002
b79710bf-f3d4-4122-95fe-85316c285ff2	3	68697108	68698262	14	1.2701
b79710bf-f3d4-4122-95fe-85316c285ff2	3	68699607	85288131	10291	0.0096
b79710bf-f3d4-4122-95fe-85316c285ff2	3	85289069	85289204	2	-1.6243
b79710bf-f3d4-4122-95fe-85316c285ff2	3	85296469	85456794	92	0.0903
b79710bf-f3d4-4122-95fe-85316c285ff2	3	85457040	85521411	30	0.3911
b79710bf-f3d4-4122-95fe-85316c285ff2	3	85528047	106608260	9903	0.0077
b79710bf-f3d4-4122-95fe-85316c285ff2	3	106608429	106611033	2	-2.8649
b79710bf-f3d4-4122-95fe-85316c285ff2	3	106611070	149245608	26229	0.0016
b79710bf-f3d4-4122-95fe-85316c285ff2	3	149245674	149245975	6	-1.6157
b79710bf-f3d4-4122-95fe-85316c285ff2	3	149246023	149250334	18	-1.0231
b79710bf-f3d4-4122-95fe-85316c285ff2	3	149253293	162810842	8341	0.0058
b79710bf-f3d4-4122-95fe-85316c285ff2	3	162812527	162822702	9	-1.6117
b79710bf-f3d4-4122-95fe-85316c285ff2	3	162827928	175019486	7388	0.0084
b79710bf-f3d4-4122-95fe-85316c285ff2	3	175019639	175020030	6	-2.2159
b79710bf-f3d4-4122-95fe-85316c285ff2	3	175022599	193160113	11799	0.0066
