GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55c84cea-675a-4ba4-b598-0043cbf32720	1	62920	86341	11	-1.1661
55c84cea-675a-4ba4-b598-0043cbf32720	1	98588	1575421	199	0.0874
55c84cea-675a-4ba4-b598-0043cbf32720	1	1696479	1741164	16	-0.6953
55c84cea-675a-4ba4-b598-0043cbf32720	1	1756148	3286332	507	0.0663
55c84cea-675a-4ba4-b598-0043cbf32720	1	3291811	4977991	1264	-0.0207
55c84cea-675a-4ba4-b598-0043cbf32720	1	4979033	4979320	2	-1.1597
55c84cea-675a-4ba4-b598-0043cbf32720	1	4982142	5320542	287	-0.0048
55c84cea-675a-4ba4-b598-0043cbf32720	1	5323260	5323383	3	-1.0635
55c84cea-675a-4ba4-b598-0043cbf32720	1	5324268	12832455	4223	-0.0026
55c84cea-675a-4ba4-b598-0043cbf32720	1	12850124	13362275	19	-0.4949
55c84cea-675a-4ba4-b598-0043cbf32720	1	13383455	16470226	2092	-0.015
55c84cea-675a-4ba4-b598-0043cbf32720	1	16470247	16863509	77	0.1918
55c84cea-675a-4ba4-b598-0043cbf32720	1	16864367	16935752	54	-0.5482
55c84cea-675a-4ba4-b598-0043cbf32720	1	16949746	34626073	10236	-0.0034
55c84cea-675a-4ba4-b598-0043cbf32720	1	34637053	34648667	21	-0.768
55c84cea-675a-4ba4-b598-0043cbf32720	1	34649941	65256270	19158	0.0084
55c84cea-675a-4ba4-b598-0043cbf32720	1	65257181	72273050	4588	0.0358
55c84cea-675a-4ba4-b598-0043cbf32720	1	72273186	72345450	67	0.3509
55c84cea-675a-4ba4-b598-0043cbf32720	1	72345465	78341944	3780	0.0449
55c84cea-675a-4ba4-b598-0043cbf32720	1	78341987	91686396	8880	0.0688
55c84cea-675a-4ba4-b598-0043cbf32720	1	91686763	105476583	8294	0.1072
55c84cea-675a-4ba4-b598-0043cbf32720	1	105476614	105479753	16	0.7679
55c84cea-675a-4ba4-b598-0043cbf32720	1	105481433	109684893	2636	0.1166
55c84cea-675a-4ba4-b598-0043cbf32720	1	109690352	109697556	13	-1.9424
55c84cea-675a-4ba4-b598-0043cbf32720	1	109702376	143541857	7139	0.0991
55c84cea-675a-4ba4-b598-0043cbf32720	1	143545399	144442342	130	-0.6609
55c84cea-675a-4ba4-b598-0043cbf32720	1	144445555	152789447	2512	0.1202
55c84cea-675a-4ba4-b598-0043cbf32720	1	152789463	152795027	22	-0.2559
55c84cea-675a-4ba4-b598-0043cbf32720	1	152795141	179354603	17914	0.1037
