Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	51598	30514083	16469	0.0308
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	30514243	30514537	2	-5.1054
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	30517797	150819085	59654	0.0049
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	150819115	150852862	37	1.2691
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	150852902	197377986	30956	0.0036
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	197378049	197379634	7	-2.0672
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	197380463	240491493	29893	-0.0028
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	240491808	240492118	3	-3.4048
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	240494139	246138635	3779	-6e-04
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	246142892	246145367	2	-3.1678
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	246145669	246804070	348	0.1018
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	246815817	246861912	30	-1.9535
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	1	246862475	247191011	145	0.0226
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	2	2784	4181455	2970	0.0206
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	2	4183562	4201894	43	-0.6186
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	2	4207937	6215591	1640	0.0115
HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_A10_748218	2	6217488	6225288	31	-0.8461
