Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	3218610	29125119	13432	-0.6502
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	29131442	44635476	8494	0.1955
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	44636481	44637390	2	-1.6887
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	44647380	113030069	41256	0.1699
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	113034376	208764835	40683	0.4448
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	208769963	214540716	3974	-0.2176
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	214541336	214618770	84	-3.4861
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	214619864	238276934	15412	-0.2072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	238277365	238378740	91	-0.5591
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	238380551	245234737	4555	-0.221
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	245264032	245729883	319	-0.6891
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	1	245730311	247813706	777	-0.2286
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	484222	9159663	5180	-0.0142
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	9165288	9165985	2	-2.1472
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	9194356	28182350	11739	-0.0358
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	28184048	28232087	25	-0.8883
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	28240525	141813216	56434	-0.0354
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	141817173	142027373	121	-0.8651
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	142030122	142182111	96	-1.2729
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	142185449	191441844	28125	-0.0496
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	191443139	191820530	195	-0.4306
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	2	191825688	242476062	29332	-0.1062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	2212571	3383021	609	-0.2096
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	3383095	3383206	2	-2.9559
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	3385209	28923343	15027	-0.2087
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	28923583	28924887	5	-2.1191
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	28925855	35251044	3960	-0.208
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	35254954	35257958	2	1.6916
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	35259970	36475542	789	-0.2239
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	36475581	36485687	8	-1.0563
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	36486010	38888227	1491	-0.2182
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	38889514	38890501	2	-1.8757
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	38892800	54149655	7744	-0.1993
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	54150628	54444039	230	-0.7411
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	54455806	94388133	21290	-0.2119
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	94397828	94404459	5	-1.6153
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	94413299	124346402	16957	-0.2244
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	124348965	124362919	23	0.4993
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_F10_697478	3	124365763	126190830	1094	-0.2069
