Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	61735	228706	18	-0.609
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	228729	17048479	8795	-2e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	17056457	17114634	19	-0.4054
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	17114712	25593128	5342	0
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	25595881	25636451	20	0.3918
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	25645184	25646946	6	1.2135
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	25646986	35091674	4974	7e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	35102654	35114268	21	0.3712
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	35115542	39132431	2197	-0.0146
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	39132432	39132462	3	1.294
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	39135188	72750353	21663	-0.0054
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	72756113	72763370	9	-0.6643
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	72768418	72811148	48	2.0576
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	72811904	95674710	14909	0.0023
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	95676511	95676518	2	-1.6855
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	95680124	106019310	6137	0.0054
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	106019370	106024798	19	-0.5866
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	106028674	108729759	1938	-0.0037
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	108734235	108737496	3	-3.6433
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	108739104	108766355	18	-0.1124
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	108769302	108817179	2	-3.2887
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	108828957	110227515	704	0.0208
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	110232974	110242953	18	-1.2398
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	110244998	112690326	1958	0.011
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	112695965	112705956	26	0.6131
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_B09_680124	1	112706060	145151728	5396	0.0043
