GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3386346a-d3be-4609-994d-050ebc92c952	1	62920	25256850	14004	-0.0027
3386346a-d3be-4609-994d-050ebc92c952	1	25266637	25320455	24	0.7211
3386346a-d3be-4609-994d-050ebc92c952	1	25336819	34626073	4949	-0.0083
3386346a-d3be-4609-994d-050ebc92c952	1	34637053	34648667	21	-0.7009
3386346a-d3be-4609-994d-050ebc92c952	1	34649941	54624527	11028	0.0014
3386346a-d3be-4609-994d-050ebc92c952	1	54627618	54628716	2	-2.811
3386346a-d3be-4609-994d-050ebc92c952	1	54630777	72290491	12711	0.0025
3386346a-d3be-4609-994d-050ebc92c952	1	72293529	72345465	54	0.7274
3386346a-d3be-4609-994d-050ebc92c952	1	72346221	109690352	23595	0.0046
3386346a-d3be-4609-994d-050ebc92c952	1	109690415	109708520	21	0.6176
3386346a-d3be-4609-994d-050ebc92c952	1	109708535	152583051	9561	-0.0013
3386346a-d3be-4609-994d-050ebc92c952	1	152583230	152613762	31	-2.0487
3386346a-d3be-4609-994d-050ebc92c952	1	152613802	152614118	4	-0.8745
3386346a-d3be-4609-994d-050ebc92c952	1	152618018	152784330	164	0.0078
3386346a-d3be-4609-994d-050ebc92c952	1	152785214	152795447	31	0.6303
3386346a-d3be-4609-994d-050ebc92c952	1	152795471	174827267	14804	0.0019
3386346a-d3be-4609-994d-050ebc92c952	1	174827418	174828472	13	-0.8036
3386346a-d3be-4609-994d-050ebc92c952	1	174828549	245473108	48285	0.0046
3386346a-d3be-4609-994d-050ebc92c952	1	245473737	245483602	11	-1.1296
3386346a-d3be-4609-994d-050ebc92c952	1	245486349	248930189	2185	0.0327
3386346a-d3be-4609-994d-050ebc92c952	2	12784	52527362	37101	0.0129
3386346a-d3be-4609-994d-050ebc92c952	2	52527423	52554359	34	-0.4426
3386346a-d3be-4609-994d-050ebc92c952	2	52554366	78474950	16757	0.0156
3386346a-d3be-4609-994d-050ebc92c952	2	78480641	78494555	12	-0.9998
3386346a-d3be-4609-994d-050ebc92c952	2	78494776	86710564	5136	0.0153
3386346a-d3be-4609-994d-050ebc92c952	2	86725947	86726731	2	-1.8449
3386346a-d3be-4609-994d-050ebc92c952	2	86743283	87286164	128	0.0581
3386346a-d3be-4609-994d-050ebc92c952	2	87287256	87295819	3	-1.9142
3386346a-d3be-4609-994d-050ebc92c952	2	87299357	87440034	17	-0.2084
3386346a-d3be-4609-994d-050ebc92c952	2	87440271	87489240	14	0.2365
3386346a-d3be-4609-994d-050ebc92c952	2	87489506	87575400	16	-0.778
3386346a-d3be-4609-994d-050ebc92c952	2	87575894	97359885	1751	0.0102
3386346a-d3be-4609-994d-050ebc92c952	2	97524284	97563117	17	-0.7936
3386346a-d3be-4609-994d-050ebc92c952	2	97570839	106263639	5558	0.0074
3386346a-d3be-4609-994d-050ebc92c952	2	106264257	106270799	12	-1.8275
3386346a-d3be-4609-994d-050ebc92c952	2	106270952	113604438	3780	0.0107
3386346a-d3be-4609-994d-050ebc92c952	2	113604837	113604839	2	-2.2673
3386346a-d3be-4609-994d-050ebc92c952	2	113623244	179196928	40304	0.014
3386346a-d3be-4609-994d-050ebc92c952	2	179202465	179214417	3	-2.6452
3386346a-d3be-4609-994d-050ebc92c952	2	179218864	242147305	38751	0.0103
3386346a-d3be-4609-994d-050ebc92c952	3	20930	800431	645	0.079
3386346a-d3be-4609-994d-050ebc92c952	3	803351	1386714	536	0.6591
3386346a-d3be-4609-994d-050ebc92c952	3	1393674	2777574	1225	0.0881
3386346a-d3be-4609-994d-050ebc92c952	3	2780268	5585164	2500	0.0077
3386346a-d3be-4609-994d-050ebc92c952	3	5586981	5590413	2	-1.8545
3386346a-d3be-4609-994d-050ebc92c952	3	5590436	6604856	904	0.0425
3386346a-d3be-4609-994d-050ebc92c952	3	6609441	6611645	23	-0.6835
3386346a-d3be-4609-994d-050ebc92c952	3	6613391	52989195	29853	0.004
3386346a-d3be-4609-994d-050ebc92c952	3	52997720	53004886	32	-1.6365
3386346a-d3be-4609-994d-050ebc92c952	3	53004928	59750573	4562	-0.0033
3386346a-d3be-4609-994d-050ebc92c952	3	59750788	60558399	968	0.0861
3386346a-d3be-4609-994d-050ebc92c952	3	60558730	68697013	6498	0.004
3386346a-d3be-4609-994d-050ebc92c952	3	68697108	68698262	14	-1.0666
3386346a-d3be-4609-994d-050ebc92c952	3	68699607	75372019	4866	-0.0046
3386346a-d3be-4609-994d-050ebc92c952	3	75377956	75499583	54	-0.8125
3386346a-d3be-4609-994d-050ebc92c952	3	75500567	82706220	4040	-0.0019
3386346a-d3be-4609-994d-050ebc92c952	3	82706841	82707026	2	-2.8547
3386346a-d3be-4609-994d-050ebc92c952	3	82709592	99218940	6936	0.0044
3386346a-d3be-4609-994d-050ebc92c952	3	99225614	99232120	39	-0.4043
3386346a-d3be-4609-994d-050ebc92c952	3	99232539	128661409	18053	0.0076
3386346a-d3be-4609-994d-050ebc92c952	3	128662406	128693488	16	0.7152
3386346a-d3be-4609-994d-050ebc92c952	3	128695318	130047743	623	0.0116
3386346a-d3be-4609-994d-050ebc92c952	3	130057015	130092419	43	0.3939
3386346a-d3be-4609-994d-050ebc92c952	3	130092428	189645889	36976	0.0068
3386346a-d3be-4609-994d-050ebc92c952	3	189646041	189653225	12	-0.9653
3386346a-d3be-4609-994d-050ebc92c952	3	189654562	193160113	2488	0.0104
3386346a-d3be-4609-994d-050ebc92c952	3	193160173	193168646	20	-0.8521
3386346a-d3be-4609-994d-050ebc92c952	3	193168669	195558822	1482	0.0158
3386346a-d3be-4609-994d-050ebc92c952	3	195559056	195715711	22	-0.5597
3386346a-d3be-4609-994d-050ebc92c952	3	195719726	198169247	1189	0.009
3386346a-d3be-4609-994d-050ebc92c952	4	68929	68378716	42154	0.0059
3386346a-d3be-4609-994d-050ebc92c952	4	68389352	68618391	85	0.4336
3386346a-d3be-4609-994d-050ebc92c952	4	68620122	121360818	32033	0.005
3386346a-d3be-4609-994d-050ebc92c952	4	121361313	121363980	27	-0.6845
3386346a-d3be-4609-994d-050ebc92c952	4	121369976	160950731	23572	0.0073
3386346a-d3be-4609-994d-050ebc92c952	4	160952454	160963448	30	0.4739
3386346a-d3be-4609-994d-050ebc92c952	4	160963756	171448195	6662	0.0065
3386346a-d3be-4609-994d-050ebc92c952	4	171453733	171456559	10	2.2412
3386346a-d3be-4609-994d-050ebc92c952	4	171456573	172066777	398	-0.031
3386346a-d3be-4609-994d-050ebc92c952	4	172067997	172068382	12	-1.3711
3386346a-d3be-4609-994d-050ebc92c952	4	172074828	188300104	10918	0.0149
3386346a-d3be-4609-994d-050ebc92c952	4	188300206	188300221	2	-2.0513
3386346a-d3be-4609-994d-050ebc92c952	4	188300270	190106768	1144	0.0441
3386346a-d3be-4609-994d-050ebc92c952	5	15532	717794	313	0.0118
3386346a-d3be-4609-994d-050ebc92c952	5	722090	819817	31	-0.47
3386346a-d3be-4609-994d-050ebc92c952	5	819921	28052971	19185	0.0088
3386346a-d3be-4609-994d-050ebc92c952	5	28055605	28058935	4	-2.3372
3386346a-d3be-4609-994d-050ebc92c952	5	28058946	46271006	11120	0.0026
3386346a-d3be-4609-994d-050ebc92c952	5	46271828	46273400	6	-2.2244
3386346a-d3be-4609-994d-050ebc92c952	5	46278110	58030453	5070	-0.0023
3386346a-d3be-4609-994d-050ebc92c952	5	58033288	58037688	28	-0.5717
3386346a-d3be-4609-994d-050ebc92c952	5	58037706	150822643	56589	0.0029
3386346a-d3be-4609-994d-050ebc92c952	5	150825938	150839042	8	-0.9751
3386346a-d3be-4609-994d-050ebc92c952	5	150843825	177706657	18436	-0.0015
3386346a-d3be-4609-994d-050ebc92c952	5	177710487	177800550	10	-0.6169
3386346a-d3be-4609-994d-050ebc92c952	5	177801578	177805604	2	3.058
3386346a-d3be-4609-994d-050ebc92c952	5	177827964	181363319	1985	0.0122
3386346a-d3be-4609-994d-050ebc92c952	6	149661	254283	101	-0.0436
3386346a-d3be-4609-994d-050ebc92c952	6	257353	381149	101	-0.382
3386346a-d3be-4609-994d-050ebc92c952	6	382559	26747492	20026	0.004
3386346a-d3be-4609-994d-050ebc92c952	6	26747504	26759781	4	-1.3429
3386346a-d3be-4609-994d-050ebc92c952	6	26831719	29869295	1414	0.0021
3386346a-d3be-4609-994d-050ebc92c952	6	29869410	29907031	24	0.9989
3386346a-d3be-4609-994d-050ebc92c952	6	29909182	31318499	656	0.0111
3386346a-d3be-4609-994d-050ebc92c952	6	31318528	31328674	10	-1.7523
3386346a-d3be-4609-994d-050ebc92c952	6	31342147	32486746	501	0.0518
3386346a-d3be-4609-994d-050ebc92c952	6	32488906	32562367	20	1.54
3386346a-d3be-4609-994d-050ebc92c952	6	32562521	32634492	29	0.583
3386346a-d3be-4609-994d-050ebc92c952	6	32636595	54066286	13703	0.0011
3386346a-d3be-4609-994d-050ebc92c952	6	54066353	54070550	8	1.3435
3386346a-d3be-4609-994d-050ebc92c952	6	54070617	78261980	13156	0.0104
3386346a-d3be-4609-994d-050ebc92c952	6	78261995	78322875	106	0.4514
3386346a-d3be-4609-994d-050ebc92c952	6	78325223	80566395	1429	0.0108
3386346a-d3be-4609-994d-050ebc92c952	6	80568268	80584697	39	-0.6389
