GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	62920	668210	21	-0.4332
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	771719	825988	14	0.5519
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	826738	3023708	583	0.124
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	3024053	3033503	5	0.4972
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	3033770	5192320	1544	0.0461
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	5193376	11959346	3882	0.0098
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	11965338	15823420	2290	0.0436
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	15827002	15827430	6	-2.3717
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	15827706	16689764	338	0.0219
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	16718963	16935752	75	-0.4233
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	16949746	25256800	5264	0.049
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	25256850	25320455	25	0.6414
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	25336819	54624527	16011	0.0488
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	54627618	54628716	2	-2.0751
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	54630777	71770280	12417	0.0575
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	71771947	72063195	174	-0.1549
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	72065790	72284670	133	0.0277
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	72290430	72297687	9	-0.7735
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	72302735	103613021	20074	0.0583
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	103613109	103621165	10	-0.8407
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	103697067	103760781	5	1.0271
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	103760879	105470754	917	0.0591
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	105476583	105491310	28	-0.2394
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	105491593	108187137	1928	0.069
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	108191613	108194874	3	-0.8849
248a1108-085c-4e8c-9fa5-5ef08ed7fbf8	1	108196482	112147704	2658	0.0563
