Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	1	3208470	245880329	129003	-0.0071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	474222	179047260	95579	0.0344
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	179048827	180362649	794	-0.3014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	180366353	181095673	500	0.0602
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	181098181	182479310	833	-0.2857
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	182481389	182797608	185	0.0354
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	182801201	183104400	199	-0.306
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	183106865	184582077	722	0.049
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	184584496	190426822	2494	-0.2875
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	190440077	190801460	208	0.045
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	2	190802384	242124735	29679	-0.3029
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	526235	17477922	9355	-0.3111
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	17483903	18200855	340	0.048
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	18201753	55545992	21091	-0.3061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	55546557	55552920	6	-3.2078
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	55552975	95226623	20052	-0.3085
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	95239422	97250515	1016	0.0411
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	97250901	97705677	238	-0.3046
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	97710668	98188347	218	0.0476
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	98191539	98967342	383	-0.2945
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	98967703	193127452	51262	0.0374
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	3	193128137	199023074	2327	-0.3173
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	4	1043934	189836143	102710	-0.0072
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	967233	107188093	56187	0.0275
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	107192440	107834240	424	0.3192
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	107842215	111284085	1970	0.0184
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	111289757	114784354	2440	0.2935
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	114784536	114784761	5	-0.3673
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	114786977	116981556	1229	0.2928
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	116984087	117195204	161	-0.01
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	117201125	118327146	705	0.2943
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	118343087	118560787	128	0.0061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	118563470	120321484	981	0.3172
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	120501670	120620028	82	0.0029
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	120621105	125221558	2777	0.3025
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	125225046	125620169	198	0.0258
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	5	125620669	180293075	33190	0.2931
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	6	959281	134738708	74892	-0.008
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	6	134739070	134739133	2	-1.8384
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	6	134739689	170745844	21550	-0.0068
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	7	671810	158077879	81278	0.0175
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	8	607667	145304484	81502	-0.0076
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	9	779932	140058573	67969	-0.0447
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	10	405240	135075077	80823	0.0186
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	11	446120	90115183	48565	0.0169
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	11	90130511	90131048	3	-1.3225
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	11	90133335	133647740	28646	0.0261
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	760163	8200700	4253	0.1489
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	8488059	8579342	56	-0.8492
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	8584458	8623913	32	-0.3481
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	8627719	53880664	24049	-0.0064
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	53883449	53884419	2	-2.1253
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	12	53887987	131671419	45526	-0.0075
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	13	18348806	114005560	56633	0.0333
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	14	19571208	105059083	49431	-0.012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	15	21238778	99701830	44499	-0.0061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	16	593460	12433599	6483	0.036
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	16	12440702	12441110	3	-1.3788
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	16	12441122	87907437	34355	0.0453
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	17	933971	48254065	21084	0.0169
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	17	48254200	48258603	3	-1.4685
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	17	48259211	48293021	22	0.119
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	17	48293589	48293665	2	-2.352
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	17	48295402	78510305	15856	0.0201
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	18	319586	20868585	10478	0.0417
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	18	20869009	20869900	2	-1.4637
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	18	20870388	75210228	32176	0.0449
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	19	235018	63570038	23943	0.0227
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	20	403764	61690281	37273	0.1194
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	21	14269492	46503202	20572	0.0206
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	22	15803930	47717016	16923	0.0149
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	3167107	27981007	10979	-0.0019
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	27982002	27982104	2	-3.0232
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	27982756	40617957	5951	0.0074
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	40626643	40626838	6	1.649
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	40627126	105360836	24201	-0.0073
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	105365153	105381864	11	0.8638
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	105446306	108501153	1229	-0.0018
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	108503709	108504132	2	-1.7977
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_A03_741920	X	108504727	154558783	21212	-0.0074
