Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	51598	219036	22	-1.0694
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	219482	16884097	8754	0.0051
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	16884147	17134834	119	-0.3976
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	17148828	25291286	5155	0.0028
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	25295988	25296909	2	-1.8085
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	25297476	25455878	117	-0.0059
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	25455928	25519533	28	0.3907
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	25519573	30252357	2181	-0.0066
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	30258097	30261148	5	-1.4949
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	30263181	72541504	26605	0.0037
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	72541524	72583736	45	-1.6917
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	72584492	103965310	20104	4e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	103979561	104062729	24	0.4918
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	104069745	110025907	3595	0.0087
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	110025950	110029023	13	-0.7785
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	110029038	110034497	2	0.0833
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	110034560	110044476	17	-1.7297
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	110046521	110054653	19	-0.311
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	110058147	112491849	1938	0.0082
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	112497488	112498913	25	-0.3791
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	112507479	142745296	5209	0.0029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	142745454	143553915	40	-0.2578
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	143560896	143576984	4	-1.5708
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	143579717	147220620	1131	-0.0104
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_A08_697706	1	147291426	147689083	163	-0.7237
