GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
22e364e9-cb36-44a8-9e87-15bef97986a7	1	62920	110834946	67063	0.0231
22e364e9-cb36-44a8-9e87-15bef97986a7	1	110834948	110845562	35	-0.8247
22e364e9-cb36-44a8-9e87-15bef97986a7	1	110845604	112147589	1067	0.0539
22e364e9-cb36-44a8-9e87-15bef97986a7	1	112147626	112163334	28	0.8913
22e364e9-cb36-44a8-9e87-15bef97986a7	1	112163438	152602985	7609	0.0417
22e364e9-cb36-44a8-9e87-15bef97986a7	1	152606973	152606992	2	2.8209
22e364e9-cb36-44a8-9e87-15bef97986a7	1	152607145	169247699	11446	0.0279
22e364e9-cb36-44a8-9e87-15bef97986a7	1	169264736	169272528	7	-2.9254
22e364e9-cb36-44a8-9e87-15bef97986a7	1	169273163	174828195	3516	0.03
22e364e9-cb36-44a8-9e87-15bef97986a7	1	174828247	174832716	10	1.052
22e364e9-cb36-44a8-9e87-15bef97986a7	1	174832734	175783051	716	0.059
22e364e9-cb36-44a8-9e87-15bef97986a7	1	175783601	175789935	2	2.1307
22e364e9-cb36-44a8-9e87-15bef97986a7	1	175789994	186681619	7190	0.0241
22e364e9-cb36-44a8-9e87-15bef97986a7	1	186681951	187323476	414	-0.2722
22e364e9-cb36-44a8-9e87-15bef97986a7	1	187329235	189409301	1361	0.0345
22e364e9-cb36-44a8-9e87-15bef97986a7	1	189409595	189638168	152	-0.211
22e364e9-cb36-44a8-9e87-15bef97986a7	1	189644983	190580966	690	0.0416
22e364e9-cb36-44a8-9e87-15bef97986a7	1	190584895	191546989	601	-0.2383
22e364e9-cb36-44a8-9e87-15bef97986a7	1	191548931	196780087	3494	0.034
22e364e9-cb36-44a8-9e87-15bef97986a7	1	196780691	196792690	14	1.0703
22e364e9-cb36-44a8-9e87-15bef97986a7	1	196798282	202598425	3695	0.0295
22e364e9-cb36-44a8-9e87-15bef97986a7	1	202598585	202598658	2	2.4347
22e364e9-cb36-44a8-9e87-15bef97986a7	1	202599414	203587017	660	0.0286
22e364e9-cb36-44a8-9e87-15bef97986a7	1	203589347	205156592	1191	2.4059
22e364e9-cb36-44a8-9e87-15bef97986a7	1	205159830	231671106	17644	0.0253
22e364e9-cb36-44a8-9e87-15bef97986a7	1	231671142	231676735	2	2.3936
22e364e9-cb36-44a8-9e87-15bef97986a7	1	231677572	231724138	37	0.1802
22e364e9-cb36-44a8-9e87-15bef97986a7	1	231727098	231728256	4	1.5839
22e364e9-cb36-44a8-9e87-15bef97986a7	1	231729630	241042133	7255	0.027
22e364e9-cb36-44a8-9e87-15bef97986a7	1	241042311	241042374	2	2.0666
22e364e9-cb36-44a8-9e87-15bef97986a7	1	241045696	243139864	1513	0.0178
22e364e9-cb36-44a8-9e87-15bef97986a7	1	243143622	243187175	15	1.0147
22e364e9-cb36-44a8-9e87-15bef97986a7	1	243189078	248930189	3697	0.0581
22e364e9-cb36-44a8-9e87-15bef97986a7	2	12784	4149699	2964	0.0016
22e364e9-cb36-44a8-9e87-15bef97986a7	2	4151151	4189215	53	0.4405
22e364e9-cb36-44a8-9e87-15bef97986a7	2	4189322	24457776	14909	0.0239
22e364e9-cb36-44a8-9e87-15bef97986a7	2	24458079	24464067	4	1.8223
22e364e9-cb36-44a8-9e87-15bef97986a7	2	24465186	32426830	4570	0.0239
22e364e9-cb36-44a8-9e87-15bef97986a7	2	32430257	32597275	83	0.3434
22e364e9-cb36-44a8-9e87-15bef97986a7	2	32597634	34458223	1412	0.0201
