Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	61735	723317	38	0.5559
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	728608	12835868	6488	0.0019
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	12837840	12892508	35	0.5579
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	12909977	12983506	9	-0.5679
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	13159083	13717824	48	0.454
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	13724101	16149915	1801	-0.018
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	16153497	16155010	10	0.8439
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	16165661	16828502	294	-0.0147
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	16830583	16970178	45	0.5584
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	16970311	17593316	364	-0.0368
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	17593406	17620009	23	0.6858
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	17622654	25583341	5014	-0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	25593128	25673154	34	0.8271
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	25678084	35088484	4957	-0.0089
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	35091458	35104491	24	0.4791
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	35114268	55218155	11135	-0.0091
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	55220894	55274652	38	0.3668
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	55274810	72768916	12683	-0.0162
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	72768936	72811148	45	-1.1877
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	72811904	110225965	23711	-0.0146
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	110226004	110246278	33	1.2448
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	110246281	147831183	8299	0.0164
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	147844790	149036524	59	0.4148
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	149040066	149202745	79	-0.5409
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	149202798	152555527	1582	0.0266
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	152555706	152586238	31	-1.0694
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	152586278	152754630	168	0.0304
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	152756308	152768700	44	0.6605
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	152773905	158866573	3623	-0.0101
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	158868501	158869759	2	1.9281
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	158874818	174796405	11246	-0.0141
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	174796556	174801737	15	-0.68
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	174801840	210071062	23584	-0.0104
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	210081613	210083984	3	-2.1664
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	210086552	243055550	23285	-0.0161
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	243055819	243059754	23	0.6473
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	243059760	243129352	39	0.0524
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	243134707	243223235	19	0.9015
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	243228147	248637264	3559	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	248638626	248790025	53	0.3617
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	1	248790288	249224388	151	0.0507
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	12784	34663929	24097	-0.0026
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	34664750	34737057	52	0.6317
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	34737163	87108211	35079	-0.0075
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	87109272	88052330	216	0.2737
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	88134764	89236281	550	0.0025
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	89238063	95334806	414	0.3537
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	95341388	97753585	819	0.0279
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	97757509	98241192	107	0.4046
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	98244174	130781750	19920	0.0031
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	130783696	130874488	21	0.8572
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	130874876	131042433	46	0.32
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	131046104	132714344	587	0.0378
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	132719550	133101442	104	0.4094
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	133103441	189118923	34620	-0.0064
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F09_697384	2	189119928	189126930	4	-2.1217
