Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	3208470	21118356	9963	-0.0619
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	21118422	21118485	2	-1.3146
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	21124012	245880329	119140	0.0712
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	474222	113658240	59503	0.0784
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	113665846	113837462	91	0.3828
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	113839114	140334129	13130	0.0815
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	140337742	140338537	2	-1.1002
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	140339428	206432171	37002	0.079
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	206435611	220275224	8247	-0.2842
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	220275636	220275654	2	-2.3189
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	220276338	242124735	13334	-0.2871
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	526235	54229298	29746	-0.2832
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	54231599	54234421	2	-1.9433
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	54235722	126850552	39068	-0.2855
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	126851993	127001303	42	0.0696
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	127002843	127592241	362	-0.2614
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	127593794	127969990	243	0.0695
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	127970223	129973746	1138	-0.2928
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	129978703	150030470	10533	0.0799
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	150031751	150032179	2	-0.9929
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	150032455	151835457	1071	0.0723
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	151839760	151844430	2	-0.9648
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	151845633	152917638	680	0.078
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	152921492	152921492	2	-1.3365
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	152922496	199023074	23483	0.0813
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	1043934	92018056	50361	0.0795
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	92023883	92103431	42	-0.1585
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	92104378	189836143	52340	0.0791
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	967233	33377996	19440	0.0803
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	33379864	33383608	3	-1.1407
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	33392984	118152635	43621	0.0769
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	118159957	118778030	373	0.3478
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	118782258	119086794	176	0.0933
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	119086949	140804313	12142	0.3606
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	140807418	140810539	2	-0.7817
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	140813261	180293075	24769	0.3629
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	959281	6547762	4075	0.0838
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	6550862	6551181	2	1.7694
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	6551226	23013296	11380	0.0838
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	23013332	23013782	2	-1.6651
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	23013811	93780267	36124	0.0802
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	93780743	125988292	17829	-0.2883
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	125990484	125990687	2	-2.0451
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	125991364	170745844	27061	-0.2892
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	7	671810	158077879	81336	0.0728
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	8	607667	145304484	81532	0.0782
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	779932	33733580	20343	-0.0901
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	33733683	33785823	35	0.3924
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	33788200	140058573	47638	-0.0915
