Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	61735	12838744	6512	0.0111
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	12839576	13688196	84	0.3148
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	13688680	17012422	2172	0.0078
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	17012456	17076467	27	0.5351
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	17082412	17182437	21	-0.0728
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	17190004	17297698	73	0.5059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	17298496	25583341	5255	0.0071
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	25593128	25646689	25	-1.016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	25646744	70723526	27509	0.0046
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	70725144	70753344	12	-0.6249
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	70754146	72750353	1313	-0.0043
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	72756113	72763370	9	-2.6282
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	72768418	72812440	50	0.9823
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	72816755	82651463	6315	0.0023
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	82654570	82810485	105	-0.95
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	82817239	104221531	13653	-6e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	104221631	104225568	10	-0.9329
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	104239689	104303501	15	0.6203
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	104303639	108745751	2890	-0.0059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	108746362	108853270	13	0.6588
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	108853284	110224384	686	0.0194
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	110224427	110242953	32	0.9132
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	110244998	152555706	10011	0.0193
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	152555767	152586576	33	1.3322
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	152586594	161508791	5483	-0.0039
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	161508875	161638201	47	0.3389
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	161638480	182775884	15003	0.0019
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	182777405	182781050	5	-1.2145
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	182783894	243042267	41371	0.0011
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	243044281	243309958	120	0.2887
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	1	243310092	249224388	3738	0.0291
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	12784	4196485	2980	0.0217
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	4197025	4224019	51	0.3195
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	4230062	13196075	6973	0.0027
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	13200142	13280249	45	0.57
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	13282840	18316641	3660	0.009
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	18320586	18343939	22	0.6343
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	18352405	41238235	15235	0.0085
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	41238443	41242843	16	-0.5849
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	41242868	52754881	8192	0.0053
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	52758753	52781542	33	0.5343
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	52787949	97784139	24000	0.0145
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	97790279	98179580	85	0.2987
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	98187302	106880095	5568	0.0086
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	106880713	106885357	11	-1.2699
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	106887255	130820754	14347	0.0105
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	130820850	130874488	10	0.8441
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	130874876	131318051	105	0.1439
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	131338652	131391745	2	1.777
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	131407189	131481632	4	0.337
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	2	131483965	243089456	68612	0.0073
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	60345	46793377	33222	0.0024
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	46801817	46847616	38	-0.7138
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	46849179	65199422	12121	0.0025
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	65199568	65203712	13	0.6702
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	65206904	68746259	2431	-0.0044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	68746284	68747012	8	0.7633
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	68747243	75415863	4873	-0.0037
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	75421170	75549718	58	0.3621
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	75549946	75596246	13	0.8616
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	75608639	75902909	80	0.2782
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	75912351	89417287	7681	-0.0035
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	89419364	89420488	7	0.7088
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	89425814	95456106	1380	-0.0159
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	95466880	95468110	2	-2.7334
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	95468680	98945299	1868	-0.0215
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	98945395	98949056	13	-0.7443
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_F03_777160	3	98949069	100423601	810	-0.0012
