Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	51598	72541504	42992	0.0213
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	72541524	72584492	46	-0.8532
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	72585028	81965122	6078	0.012
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	81965348	81966473	2	1.2574
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	81975976	101416798	12509	0.0127
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	101420916	101427880	2	-1.9452
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	101428258	150822151	15198	0.0252
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	150822330	150857118	36	1.0856
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	150857189	151028670	175	0.0123
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	151028881	151034883	27	0.5467
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	151034905	157226199	3694	0.0275
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	157228663	157229420	2	-1.3543
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	157233488	161558986	3011	0.0238
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	161560958	161561152	3	-0.9098
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	161561958	167483561	4642	0.0176
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	167500598	167508390	7	1.0092
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	167509025	208137685	27128	0.0166
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	208148236	208150607	3	-2.6662
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	1	208153175	247191011	27142	0.0161
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	2784	4183562	2990	0.0413
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	4191739	4201894	42	-0.6655
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	4207937	30327759	18312	0.0267
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	30331677	30332600	3	-1.022
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	30333361	34554898	2784	0.0294
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F11_680210	2	34555087	34590017	43	-0.321
