Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	61735	228706	18	0.7552
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	228729	761368	30	-0.0213
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	761732	2327815	417	-0.8695
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	2329564	2329661	3	-3.6843
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	2330351	4734076	1248	-0.9572
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	4734514	4735056	2	-3.7442
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	4735908	10370637	3452	-0.9027
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	10370791	10371134	5	0.6312
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	10371225	12852748	1313	-0.8803
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	12857863	13763960	93	-0.4403
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	13776072	15355123	1266	-0.9519
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	15355241	15356029	2	-6.7569
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	15356565	16149343	512	-0.8634
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	16149915	16155010	11	0.2361
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	16165661	16368133	86	-0.8471
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	16368403	16379416	5	-1.814
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	16389566	16813921	196	-0.7844
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	16814994	16970456	54	-0.5259
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	17005734	17017078	21	-0.0299
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	17017530	17114712	37	-0.8452
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	17177045	17291894	73	-0.4039
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	17295212	20560407	2310	-0.9306
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	20560701	20561095	4	-3.6924
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	20561434	20882523	210	-0.9327
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	20882944	20883503	4	-3.1432
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	20883522	21668873	427	-0.8297
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	21669467	21669801	2	-7.1621
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	21670059	25582629	2271	-0.8732
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	25582679	25673154	38	-0.1496
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	25678084	72750353	28694	-0.9017
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	72756113	72763370	9	-3.3343
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_F02_1148522	1	72768418	72811148	48	0.3871
