Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	1	3208470	245880329	129059	0.0025
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	2	474222	203164565	107776	0.0022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	2	203170168	203192800	11	-1.0081
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	2	203193341	242124735	23500	0.0068
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	3	526235	199023074	106379	-0.0053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	4	1043934	136710994	74302	-0.0014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	4	136712040	136751986	42	-1.1121
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	4	136759033	189836143	28391	-0.0013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	5	967233	180293075	100496	-7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	959281	81328681	44242	0.0037
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	81330877	81332811	6	-0.913
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	81355772	85422757	2376	0.0036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	85424001	85424529	2	-1.2978
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	85424685	133906252	27758	-5e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	133907104	133907501	2	-1.4705
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	133908560	134738708	525	0.0097
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	134739070	134739133	2	-1.2526
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	134739689	155528964	13204	0.0038
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	155531743	155534982	2	1.2692
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	6	155535004	170745844	8350	0.0022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	671810	16897051	8276	-0.0026
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	16897564	17025699	97	0.6032
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	17766125	24001652	3817	0.0054
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	24006403	24006908	2	1.3303
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	24007342	97722154	37720	0.0015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	97723661	97723923	3	1.0657
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	97725945	126011884	14457	-2e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	126015433	126025320	10	-1.1116
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	7	126027516	158077879	16947	0.0043
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	8	607667	139416184	79260	0.002
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	8	139422529	139486561	60	0.9999
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	8	139491434	145304484	2202	-0.0096
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	9	779932	140058573	68007	0.0092
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	10	405240	6387704	3848	0.0062
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	10	6388287	6390596	2	-1.8333
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	10	6391052	21576363	11305	0.0043
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	10	21576749	21584363	6	-1.0044
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	10	21588472	135075077	65697	0.0073
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B11_697656	11	446120	7824539	3800	0.0015
