Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	61735	235728	26	0.0942
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	235938	356542	3	1.5359
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	404171	17017078	8761	-0.2398
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	17017530	17076467	19	-0.6525
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	17082412	35102654	10355	-0.1449
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	35102670	35104491	19	-0.6771
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	35114268	72768498	23871	-0.0018
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	72768916	72811148	46	-0.5266
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	72811904	104163499	20092	0.0118
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	104163787	104260032	23	0.6347
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	104260239	106019205	924	0.0191
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	106019236	106021820	11	-0.6296
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	106021853	111377368	3532	0.004
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	111377565	111388226	38	-0.5951
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	111392067	112697188	1098	0.0245
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	112697198	112697376	4	0.9955
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	112697390	145151728	5394	0.0218
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	145151959	145152018	3	2.5339
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	145152050	149024808	979	0.0417
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	149036524	149248712	126	-0.5958
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	149248727	152555527	1535	0.017
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	152555706	152586238	31	-2.0228
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	152586278	166472863	9445	0.0273
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	166473846	166476639	2	-1.4625
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	166477537	169216937	2107	0.0235
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	169233974	169241766	7	0.8064
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	169242401	236281455	44989	0.0226
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	236285414	236291032	7	-0.9958
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	236291893	248713991	9101	0.0125
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	248725234	248809369	41	0.3126
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	1	248818483	249224388	140	-0.02
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	12784	34691069	24121	0.1153
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	34699315	34737057	46	0.8153
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	34737163	35975973	876	0.1303
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	35977790	35987916	6	1.038
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	35987947	40990662	3766	0.0993
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	40990752	40991438	2	1.3672
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	40991806	49533042	6114	0.111
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	49535768	49541190	5	-0.8554
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	49545041	52754468	2280	0.1141
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	52754480	52781542	39	0.7201
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	52787949	97857927	24054	0.1039
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	97865337	97918357	21	-0.4081
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	97918405	97918717	2	0.6665
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	97949121	98025647	13	0.0538
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	98063372	98118212	3	0.4793
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	98140747	98162189	9	1.1934
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	98166878	109692425	7298	0.1036
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	109693443	109695116	2	-1.2722
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	109695410	114362015	2137	0.1028
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	114362414	114380821	3	-1.1101
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	114383552	129638078	9613	0.1016
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	129638478	129640297	14	-0.4903
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	129640315	146862085	10484	0.0938
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	146864404	146866934	24	-2.0976
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	2	146877806	243089456	59172	0.1004
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	60345	6646543	5844	0.0339
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	6651128	6653332	23	-0.7057
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	6655078	68746164	42010	0.0372
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	68746259	68747413	14	1.0561
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	68748758	98397508	15653	0.0457
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	98407304	98407314	2	-1.4551
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	98407386	98937784	297	0.0631
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	98944458	98949421	38	0.4839
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	98950964	106117258	4253	0.0394
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	106119200	106119789	7	-0.7402
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	106121579	116674027	6623	0.0439
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	116678884	116853143	154	0.437
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	116855460	140542539	14505	0.0412
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	140545701	140546984	2	-3.5318
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	140560618	146474143	3711	0.0439
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	146474323	146476483	3	-1.7174
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	146477052	162508178	9833	0.0418
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	162508192	162532950	18	0.4858
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	162534730	162540490	6	1.3835
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	162545716	162626572	49	0.5386
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	162626603	173957517	6864	0.035
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	173958475	174107240	112	0.2849
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	174108542	195285664	13726	0.0485
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	195285898	195455911	33	0.5763
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	195455924	195661550	94	-0.0497
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	195690846	195701328	5	0.7832
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	3	195709662	197896118	1086	0.0433
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	12281	4047624	1684	0.0196
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	4057395	4076305	13	-0.5225
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	4082342	9456977	3556	0.1232
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	9461230	9478849	6	1.583
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	9479035	10214160	550	0.1269
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	10223416	10231498	28	-2.1461
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	10234214	10393154	180	0.0887
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	10398318	10400511	13	0.5437
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	10400668	34779054	16812	0.1122
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	34786500	34824725	38	-0.2392
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	34829872	61936938	15089	0.1043
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	61940935	61941952	2	-2.7162
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	61945686	63669936	940	0.1198
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	63670069	63671662	7	0.8969
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	63679630	64692979	555	0.1148
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	64693940	64708258	30	-0.2763
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	64716431	69220383	2852	0.1113
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	69226848	69294799	15	0.5721
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	69304939	70120322	403	0.119
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	70120699	70236151	62	0.4874
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	70239096	104737968	21042	0.1062
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	104742390	104745571	10	-0.7099
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	104751630	104751637	5	0.5469
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	104751644	104761264	25	-0.6911
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	104762857	115173700	6291	0.0992
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	115175323	115182175	23	-1.6426
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	115184229	130062751	8742	0.1028
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	130067546	130068160	2	-2.8171
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	130072563	133122417	1760	0.1018
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	133124255	133127510	2	-1.6432
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	133127541	138092103	2756	0.109
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	138092195	138093414	16	-0.5351
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	138094958	172368531	21476	0.1092
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	172369346	172377776	13	-0.4621
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	172380371	172987928	397	0.1114
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	172989148	172989533	12	-1.6499
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	172995979	173422522	232	0.1089
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	173424947	173428643	7	1.3066
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	173441132	190195118	11501	0.1084
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	190195622	190199264	3	1.1539
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	4	190199771	191027923	386	0.0946
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	15532	661823	297	0.0355
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	667450	732903	25	-0.2561
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	733612	8702240	6650	0.1205
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	8702522	8747142	47	-0.8295
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	8749731	15719222	5201	0.123
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	15719350	15720597	10	-5.4984
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	15723346	57321646	23676	0.1282
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	57326027	57333533	32	2.2456
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	57338357	97045121	22949	0.1212
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	97048466	97099320	43	-0.8932
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	97099684	109389904	7434	0.1207
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	109389945	109390006	2	1.6359
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	109390031	112084587	1836	0.1273
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	112084651	112084718	2	-1.0177
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	112084830	112092402	13	0.1264
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	112092426	112092443	2	-1.2456
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	112092531	140218722	17857	0.1221
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	140223836	140231750	9	-0.8178
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	140231839	142557088	1489	0.1214
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	142560227	142667583	76	0.5617
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	142669223	155475105	8660	0.1255
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	155476772	155495250	15	-0.3636
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	155495253	178107822	15284	0.1186
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	178109975	178113163	3	-2.5403
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	178118855	179104532	639	0.1174
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	179104600	179105328	7	-0.5014
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	179108197	180374523	717	0.1013
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	180378710	180418103	19	0.835
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	5	180433225	180790320	171	0.0645
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	149661	9201500	7413	0.0618
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	9202617	9212227	4	0.9642
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	9212240	26732406	12873	0.0798
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	26737032	26768569	25	-0.3615
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	26773063	29837188	1441	0.0982
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	29837314	29850366	17	0.5146
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	29850380	29901576	17	-1.0935
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	29908469	31286305	653	0.0842
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	31286531	31295406	5	-1.474
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	31295953	32622194	574	0.061
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	32624304	32626618	6	-0.8681
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	32650612	65336942	18117	0.1036
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	65347544	65348992	2	-2.2968
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	65350776	67038046	1138	0.0981
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	67040913	67043235	8	-0.6196
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	67043358	100445388	21482	0.1055
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	100446900	167131828	43679	-0.5638
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	167134570	170342783	2158	0.079
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	170347883	170409904	32	-0.1921
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	6	170409966	171051005	309	0.1078
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	43355	6837068	3440	0.4916
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	6838724	6867078	7	-1.4106
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	6867642	6991617	44	0.4384
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	7001607	7009202	3	-0.5507
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	7013734	22434780	12617	0.5205
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	22435472	22436487	2	-3.2548
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	22438754	43620294	15018	0.5115
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	43628168	43631128	3	-0.9416
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	43631368	54380373	7457	0.5083
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	54386505	54386517	6	-1.7258
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	54393488	64568852	3140	0.5066
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	64594065	64595698	6	-0.5512
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	64637128	97609419	19149	0.5035
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	97611341	97612048	3	-1.7243
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	97613771	109433777	6527	0.5033
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	109433785	109441244	27	0.7446
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	109441629	109454229	12	1.2378
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	109454271	121195743	7076	0.5031
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	121196326	121199586	2	-1.2328
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	121201292	133785177	7677	0.5042
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	133785195	133790443	25	0.909
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	133795634	142044929	5447	0.5009
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	142047109	142047648	6	1.4211
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	142099013	142474939	254	0.5333
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	142476719	142486045	27	1.3258
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	142486115	143709699	693	0.4996
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	143710096	143711151	7	1.1356
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	143711169	143873377	137	0.4945
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	143873952	144066947	45	0.9613
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	144074929	150285104	3854	0.513
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	150285801	150301569	8	-0.699
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	150307922	152827520	1451	0.5115
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	152829906	152830642	2	-0.7234
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	152831150	154389895	1133	0.5138
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	154393171	154399613	4	1.6993
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	154400830	154427672	27	0.4181
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	154427998	154428418	3	-0.3402
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	154429560	155464029	888	0.5003
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	155465863	155466938	2	-0.4874
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	7	155469636	159127004	2325	0.4972
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	8	31254	2246686	1646	-0.0394
LEMUR_p_TCGA_116_163_164_183_N_GenomeWideSNP_6_G06_914454	8	2247094	2259358	17	-0.6268
