Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	1	3208470	245880329	128875	0.0013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	2	474222	242124735	131090	0.0046
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	3	526235	199023074	106227	0.0025
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	1043934	8652198	4232	0.0099
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	8654526	8654795	2	-2.2888
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	8654959	42527740	21440	-0.0015
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	42528549	42532440	3	1.034
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	42532859	112431655	35811	-2e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	112432291	112436250	2	-1.8639
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	4	112437259	189836143	41099	-4e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	5	967233	68354398	36820	0.001
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	5	68355443	68356524	3	-1.1586
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	5	68356942	180293075	63541	0.0021
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	6	959281	170745844	96336	-0.0022
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	7	671810	70042082	36472	0.0115
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	7	70043015	70043943	2	-1.2155
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	7	70046202	158077879	44736	0.0117
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	8	607667	145304484	81401	4e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	9	779932	140058573	67893	-0.0054
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	10	405240	68603422	39409	0.0119
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	10	68608240	68779840	98	0.5663
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	10	68780531	128136138	37499	0.0059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	10	128138354	128487513	269	0.6036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	10	128494760	135075077	3458	0.0033
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	446120	118912856	66914	0.0021
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	118913214	118913230	2	-1.7284
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	118914006	126192472	5211	-1e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	126193215	126220760	35	0.2502
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	126229199	131709865	4012	0.001
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	131713638	131714011	2	-0.9993
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	11	131714293	133647740	946	-0.0036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	12	760163	131671419	73804	0.0037
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	13	18348806	27334308	4988	0.0016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	13	27334798	27337264	3	-1.4123
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	13	27337389	89821883	36042	-0.0035
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	13	89825548	89827314	3	-1.2437
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	13	89829066	114005560	15508	-0.0058
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	14	19571208	94159620	43049	-0.0014
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	14	94161695	94162152	2	-1.371
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D05_777102	14	94164755	96240729	1552	-0.003
