Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	1	3218610	247813706	129008	0.011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	2	484222	242476062	131156	0.0117
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	3	2212571	61291738	33508	-0.514
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	3	61292333	197538677	72655	0.0188
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	4	1053934	29591949	17857	0.0165
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	4	29594331	29595168	3	-1.6103
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	4	29598580	188763651	84778	0.0113
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	5	914233	180360469	100421	0.0132
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	6	1014281	113313807	62440	0.014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	6	113316178	113316394	2	-1.7801
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	6	113316894	158206901	27198	0.0119
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	6	158212001	158212791	2	-1.658
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	6	158213807	170903919	6768	0.0156
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	7	705284	87737448	44848	0.0295
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	7	87740910	87741514	2	-2.0521
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	7	87741823	124979216	18796	0.0269
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	7	124979256	124979488	2	-1.7462
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	7	124979692	158385118	17608	0.031
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	8	617667	23260026	12854	0.0065
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	8	23264646	23266108	3	-1.6483
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	8	23266984	107763043	45788	0.0131
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	8	107764227	107789607	14	-0.5768
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	8	107789837	145232496	22802	0.0158
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	9	789932	134841390	65260	0.0128
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	9	134842748	135268503	264	0.5875
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	9	135273507	137387029	1181	0.0207
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	9	137389953	137391780	2	-1.414
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	9	137391853	140938752	1258	0.0314
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	10	415240	135225087	80778	0.003
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	11	456120	134142530	77162	0.0126
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	12	889902	133161346	73877	0.0069
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	13	19450806	114987458	56592	0.0137
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	14	20501368	59123296	20920	0.0096
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	14	59125810	59128987	2	-1.9874
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	14	59132173	105988038	28489	0.015
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	15	23687685	69665260	25995	0.0097
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	15	69666528	69669978	3	-1.4071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	15	69673728	101884307	18485	0.0174
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	16	653459	7826317	3231	0.012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	16	7828635	7828864	2	-1.9744
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	16	7829738	76905308	28842	0.0143
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	16	76906569	76907610	3	-1.709
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	16	76909886	89379936	8671	0.0125
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	17	987221	80917016	36952	0.0101
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	18	329586	77109240	42615	0.0275
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	19	284018	58878226	23931	0.0118
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	20	455764	62219837	37251	0.0128
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	21	15347621	45356487	19604	0.014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	21	45357715	45357730	2	-2.6933
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	21	45358560	47678774	959	0.0353
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	22	17423930	49331012	16905	0.02
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	X	3157107	6298881	662	-0.0127
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	X	6300937	6304977	5	-1.2946
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E07_741968	X	6307215	154905589	63086	0.0015
