Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	51598	52800	6	-0.2976
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	62567	88465	11	-0.8268
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	218569	9341223	4747	-0.0149
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	9341877	9342048	3	-1.1582
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	9343128	25455928	9404	-0.0126
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	25465715	25519533	27	-1.9994
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	25519573	34864261	4973	-0.0113
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	34875241	34876097	10	-0.4292
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	34876414	34877066	9	-0.7488
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	34877078	45967483	6166	-0.0063
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	45968317	46029477	34	0.5552
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	46034716	64697848	12278	-0.0139
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	64698479	64699133	3	-0.9908
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	64700422	72535958	5311	0.014
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	72541006	72583664	46	-0.7819
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	72583721	75823432	1934	0.0172
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	75827351	75827442	2	-3.4136
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	75832097	83588545	5173	0.0199
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	83589065	83598178	3	-1.0964
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	83600861	105820893	13948	0.0275
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	105821006	105823867	11	0.7517
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	105823883	110008844	2652	0.0197
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	110020531	110029038	20	-0.4169
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	110034497	110041701	17	-1.6635
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	110044476	112491849	1958	0.0236
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	112497488	112498913	25	0.4186
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	112507479	147788470	6553	0.0018
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	147811996	147845346	5	-0.8316
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	147884075	151028547	1697	0.0045
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	151028563	151035324	36	-2.3474
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	151040529	168216977	11919	0.0167
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	168221415	168222175	2	-1.3795
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	168223074	183369896	9986	-0.0014
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	183374477	183396060	12	0.6537
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	183400689	191422415	5244	0.0236
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	191422902	191422940	2	1.4041
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	191422955	194994473	2405	0.0208
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	194997658	194998709	3	-1.317
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	195005246	195024743	33	0.2071
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	195024772	195025911	4	-0.7633
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	195028443	195079130	53	0.2033
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	195079153	195082414	2	3.6376
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	195083353	197805686	1692	0.0397
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	197809186	197812328	6	-0.8382
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	197812810	221087127	16090	0.0207
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	221089546	221090227	2	-2.9915
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	221090392	241114179	14327	0.0201
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	241115363	241147028	53	-0.2293
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	1	241147170	247191011	3804	0.0211
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	2784	285136	180	-0.0176
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	285255	286852	4	-0.9168
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	290879	26086989	18593	0.0329
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	26091725	26093084	3	-1.3652
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	26094478	34544573	5351	0.0072
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	34552819	34590561	46	0.5551
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	34590667	52612272	13058	0.0241
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	52612294	52635046	31	-0.6211
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	52641453	74000485	13709	0.0302
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	74001135	74001326	2	-1.4057
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	74003764	86791198	8247	0.0393
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	86806581	86807365	2	1.9424
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	86823917	87155618	76	-0.0224
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	87160459	87162774	2	-1.9182
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	87163345	97147866	1999	0.0139
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	97154006	97282075	50	-0.2323
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	97282123	107807168	6615	0.0217
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	107813401	107847339	2	-1.5123
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	107858520	111901713	1661	0.0187
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	111902315	111904204	3	-1.2172
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	111904989	114078485	1184	0.0378
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	114078884	114078886	2	-2.147
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	114097291	130505230	10507	0.0343
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	130505244	130590958	18	-0.6219
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	130591346	136942839	3513	0.0387
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	136943399	136944123	2	-1.5114
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	136948594	140763047	2500	0.0356
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	140763921	140766352	3	-1.004
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	140772778	153495731	7810	0.036
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	153504314	153505016	2	-1.8442
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	153505030	208063200	32816	0.0214
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	208063423	208067581	16	-0.7465
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	2	208067721	242738129	22159	0.0122
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	35345	6291534	5586	0.0444
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	6292359	6310472	20	0.4584
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	6313436	6621543	244	0.0503
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	6626128	6628332	23	-0.6759
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	6630078	23954307	12064	0.0285
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	23956433	23957332	2	-1.1775
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	23957334	28715093	3529	0.0281
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	28716061	28716343	4	-0.7688
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	28720095	52998251	14341	0.0066
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	53003415	53014717	43	-0.5819
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_A02_680190	3	53016384	68828854	12042	-9e-04
