Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	61735	62937	6	-0.0709
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	72704	228706	12	-1.1283
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	228729	72768916	43038	-0.0026
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	72768936	72811904	46	1.8044
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	72812440	105622533	20821	0.0069
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	105622940	105623553	2	1.6915
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	105626818	106019205	218	0.0588
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	106019236	106022375	16	1.0521
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	106024055	108740613	1947	0.0081
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	108743514	108828957	18	0.5442
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	108829428	110227515	704	0.0164
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	110232974	110234410	9	0.6913
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	110234555	112690326	1966	0.021
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	112695965	112705956	26	0.5799
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	112706060	120568607	5068	0.001
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	120578053	120589553	3	-1.2396
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	120592874	121187015	49	0.0573
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	121187379	121193600	3	1.2514
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	121194596	144987208	201	-0.0303
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	144987297	145069318	35	-0.4856
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	145074553	148870937	1006	0.0098
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F03_697906	1	148893345	149578722	186	-0.6812
