Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	3218610	11388733	4543	-0.0015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	11395601	11468442	52	-0.3888
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	11471671	22453659	5873	-0.0073
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	22455142	29253204	3075	-0.4
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	29262013	29357625	41	-0.8372
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	29362168	29528746	62	-0.3813
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	29529943	67051006	22359	-0.0054
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	67052736	67244243	183	-0.3831
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	67245275	181656043	51204	0.0022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	181657481	181658474	3	-1.5161
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	181662844	189958874	5142	0.0092
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	189959106	189960864	11	-0.6002
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	1	189963291	247813706	36600	0.0022
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	2	484222	242476062	131309	0.001
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	2212571	52768773	28797	-0.4104
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	52769689	53150288	219	0.0248
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	53152915	54645869	1031	-0.4132
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	54647638	120614924	36018	0.0313
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	120632799	120636924	4	-1.1073
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	3	120637253	197538677	40303	0.0317
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	1053934	48068826	28160	0.2943
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	52698757	66565801	8076	-0.3785
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	66567056	66567179	2	-2.092
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	66567198	86702779	11160	-0.3747
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	86703543	86714680	11	-1.006
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	86715266	161309839	41127	-0.3711
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	161310377	161311148	3	-1.8608
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	4	161313153	188763651	14187	-0.3667
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	914233	4012303	1930	0.2813
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	4012694	4012700	2	-1.1989
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	4013641	111936924	57205	0.3154
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	111941838	111943552	3	-0.7688
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	111944746	179054501	40799	0.543
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	179056487	179056595	2	-1.1038
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	5	179096243	180360469	582	0.536
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	6	1014281	20943448	14039	-0.1357
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	6	20944912	20945067	2	-1.6783
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	6	20946764	43733838	11753	-0.1372
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	6	43735986	43841345	67	0.1799
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_C07_697650	6	43842723	155109091	62060	-0.1211
