GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	62920	12779433	6489	0
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	12792599	12868035	31	-0.774
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	12922922	15035860	1307	-0.0095
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	15036048	15039744	2	-1.5366
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	15040194	15823420	506	0.009
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	15827002	15827430	6	-2.5468
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	15827706	25256850	5676	-0.0082
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	25266637	25320198	22	0.5048
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	25320253	30268649	2397	-0.0085
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	30268809	30272363	3	-1.0095
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	30274729	47584002	9732	-0.0012
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	47590957	47591145	2	-1.1653
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	47591226	52774966	2696	-0.0061
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	52775157	52775747	2	-1.276
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	52776186	71609678	13486	0.0002
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	71611848	71612901	3	-0.9649
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	71615847	72303233	414	0.023
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	72303253	72345393	43	0.4288
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	72345450	109684695	23607	0.0087
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	109684893	109697556	14	-0.5993
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	109702376	144932423	7279	0.0101
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	145642976	145809381	59	0.6002
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	145827122	152582700	2234	0.0093
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	152583051	152613802	33	-0.8386
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	152614064	152787202	168	0.0076
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	152789447	152796224	37	0.597
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	152801429	153353209	448	-0.0056
cb60e1a1-f144-4e1b-811e-ed6e1b22a9fd	1	153355859	153356408	2	-1.4209
